FacilityId,County,Place,Class,FacilityName,ReportedDate,ReportingYear,TotalServiceConnections,WholesaleConnections,RetailConnections,ServicesLead,ServicesUnknownMaterial,ServicesCopperLeadSolder,ServicesGalvanized,ServicesUnknownNotLead,ServicesCopperNonLeadSolder,ServicesCastDuctileIronTransite,ServicesPlastic
IL1090050,McDonough,Bardolph,village,Bardolph (PWS),1/5/19 13:01,2018,98,0,98,0,98,0,0,0,0,0,0
IL0974080,Lake,Barrington,village,Barrington (PWS),4/8/19 17:08,2018,4547,0,4547,1006,848,0,0,0,2693,0,0
IL1490050,Pike,Barry,city,Barry (PWS),4/9/19 11:03,2018,719,719,0,23,100,0,120,0,275,0,201
IL0270150,Clinton,Bartelso,village,Bartelso (PWS),4/15/19 11:40,2018,235,0,235,0,85,0,10,0,120,0,20
IL0314120,Cook,Bartlett,village,Bartlett (PWS),4/15/19 9:38,2018,13602,1,13601,58,231,5025,0,0,8288,0,0
IL0894130,Kane,Batavia,city,Batavia (PWS),3/18/19 11:29,2018,9330,0,9330,520,200,240,90,40,8232,0,8
IL0130050,Calhoun,Batchtown,village,Batchtown (PWS),5/9/19 17:45,2018,160,0,160,0,0,160,0,0,0,0,0
IL1490100,Pike,Baylis,village,Baylis (PWS),4/15/19 14:58,2018,82,0,82,0,0,0,0,0,82,0,0
IL0970190,Lake,Beach Park,village,Beach Park (PWS),4/5/19 10:35,2018,2888,0,2888,0,0,0,0,0,2628,0,260
IL0170150,Cass,Beardstown,city,Beardstown (PWS),4/8/19 14:50,2018,2105,0,2105,700,700,0,700,0,0,0,5
IL0270200,Clinton,Beckemeyer,village,Beckemeyer (PWS),3/18/19 12:31,2018,471,0,471,0,0,0,0,0,465,0,6
IL0310120,Cook,Bedford Park,village,Bedford Park (PWS),3/14/19 14:13,2018,490,2,488,0,0,0,0,0,215,275,0
IL1970050,Will,Beecher,village,Beecher (PWS),5/22/19 19:21,2018,2231,0,2231,479,0,278,0,0,1459,2,13
IL0490100,Effingham,Beecher City,village,Beecher City (PWS),4/8/19 10:57,2018,294,0,294,0,0,0,0,0,183,0,111
IL0870050,Johnson,Belknap,village,Belknap (PWS),5/4/19 10:32,2018,325,0,325,0,169,4,0,145,7,0,0
IL0810050,Jefferson,Belle Rive,village,Belle Rive (PWS),3/27/19 16:03,2018,844,0,844,0,0,0,0,820,0,0,24
IL1130150,McLean,Bellflower,village,Bellflower (PWS),4/16/19 21:02,2018,180,0,180,0,180,0,0,0,0,0,0
IL1850100,Wabash,Bellmont,village,Bellmont (PWS),3/27/19 16:15,2018,135,0,135,0,55,0,60,0,0,0,20
IL0310150,Cook,Bellwood,village,Bellwood (PWS),4/29/19 9:15,2018,6234,0,6234,4825,35,1064,0,0,0,310,0
IL0070050,Boone,Belvidere,city,Belvidere (PWS),3/13/19 14:56,2018,7528,1,7527,6,4033,0,0,0,3343,0,146
IL1470050,Piatt,Bement,village,Bement (PWS),4/15/19 18:56,2018,811,0,811,0,801,0,0,0,10,0,0
IL1170050,Macoupin,Benld,city,Benld (PWS),4/11/19 9:20,2018,821,1,820,0,821,0,0,0,0,0,0
IL0434140,DuPage,Bensenville,village,Bensenville (PWS),4/15/19 8:44,2018,5065,0,5065,1,3181,0,1,0,1313,569,0
IL2030050,Woodford,Benson,village,Benson (PWS),4/2/19 9:31,2018,215,215,0,0,191,0,2,0,13,0,9
IL0550050,Franklin,Benton,city,Benton (PWS),4/29/19 10:00,2018,3869,0,3869,0,1000,531,1000,0,1171,0,167
IL0310180,Cook,Berkeley,village,Berkeley (PWS),4/10/19 11:09,2018,1871,0,1871,363,401,0,42,0,1062,3,0
IL0310210,Cook,Berwyn,city,Berwyn (PWS),8/30/19 10:11,2018,3865,0,3865,3170,0,0,0,0,695,0,0
IL1190150,Madison,Bethalto,village,Bethalto (PWS),5/28/19 13:47,2018,6179,2,6177,0,0,0,1000,0,4000,0,1179
IL1390100,Moultrie,Bethany,village,Bethany (PWS),3/20/19 8:13,2018,620,0,620,0,0,0,0,620,0,0,0
IL0710050,Henderson,Biggsville,village,Biggsville (PWS),3/25/19 9:00,2018,155,0,155,0,0,0,0,0,105,0,50
IL0730250,Henry,Bishop Hill,village,Bishop Hill (PWS),5/25/19 6:34,2018,80,0,80,0,20,0,0,0,20,0,40
IL1090100,McDonough,Blandinsville,village,Blandinsville (PWS),4/11/19 11:56,2018,449,0,449,0,0,0,3,186,207,0,53
IL0430100,DuPage,Bloomingdale,village,Bloomingdale (PWS),4/11/19 7:30,2018,6917,0,6917,0,0,3836,0,0,3081,0,0
IL1130200,McLean,Bloomington,city,Bloomington (PWS),4/11/19 16:46,2018,31385,11,31374,8,30526,6,143,0,694,0,8
IL0310240,Cook,Blue Island,city,Blue Island (PWS),5/16/19 14:34,2018,5721,0,5721,5314,0,6,0,0,401,0,0
IL1150100,Macon,Blue Mound,village,Blue Mound (PWS),6/13/19 12:55,2018,488,0,488,0,214,0,0,0,247,0,27
IL1710100,Scott,Bluffs,village,Bluffs (PWS),4/2/19 10:33,2018,278,0,278,0,0,0,0,0,258,0,20
IL0810100,Jefferson,Bluford,village,Bluford (PWS),4/15/19 12:11,2018,642,0,642,0,142,0,0,0,0,0,500
IL1974151,Will,Bolingbrook,village,Illinois American - West Suburban (PWS),4/10/19 13:42,2018,22297,1,22296,0,21398,0,0,0,899,0,0
IL0470100,Edwards,Bone Gap,village,Bone Gap (PWS),3/27/19 16:19,2018,149,0,149,0,149,0,0,0,0,0,0
IL0810150,Jefferson,Bonnie,village,Bonnie (PWS),4/15/19 12:14,2018,245,0,245,0,52,26,1,0,29,0,137
IL0670200,Hancock,Bowen,village,Bowen (PWS),4/12/19 15:15,2018,270,0,270,0,23,0,0,0,230,0,17
IL0630050,Grundy,Braceville,village,Braceville (PWS),5/23/19 7:55,2018,316,0,316,0,316,0,0,0,0,0,0
IL1750050,Stark,Bradford,village,Bradford (PWS),4/5/19 12:32,2018,360,0,360,0,356,0,0,0,0,0,4
IL1970150,Will,Braidwood,city,Braidwood (PWS),4/15/19 10:27,2018,2146,0,2146,0,0,0,0,18,2125,0,3
IL0270250,Clinton,Breese,city,Breese (PWS),4/15/19 14:14,2018,2206,5,2201,0,1071,0,0,1135,0,0,0
IL1010100,Lawrence,Bridgeport,city,Bridgeport (PWS),3/28/19 19:40,2018,1243,3,1240,0,915,0,0,0,5,0,323
IL0310270,Cook,Bridgeview,village,Bridgeview (PWS),4/27/19 8:31,2018,4230,0,4230,0,0,0,0,452,3683,95,0
IL1174160,Macoupin,Brighton,village,Brighton (PWS),4/29/19 10:19,2018,2061,1,2060,0,25,0,0,1904,125,0,7
IL1430150,Peoria,Brimfield,village,Brimfield (PWS),5/2/19 10:54,2018,344,0,344,0,90,0,0,0,164,0,90
IL0190050,Champaign,Broadlands,village,Broadlands (PWS),4/30/19 12:54,2018,170,0,170,0,0,0,10,0,160,0,0
IL0310300,Cook,Broadview,village,Broadview (PWS),4/22/19 9:30,2018,2950,0,2950,60,2390,0,0,0,500,0,0
IL1070100,Logan,Broadwell,village,Broadwell (PWS),4/29/19 13:42,2018,74,0,74,0,0,64,0,0,0,0,10
IL0450050,Edgar,Brocton,village,Brocton (PWS),3/18/19 12:44,2018,139,0,139,0,72,0,0,0,42,0,25
IL0310330,Cook,Brookfield,village,Brookfield (PWS),4/8/19 16:50,2018,6400,4,6396,5782,118,375,0,0,125,0,0
IL1270050,Massac,Brookport,city,Brookport (PWS),3/28/19 19:42,2018,395,0,395,0,370,0,0,0,0,0,25
IL0650100,Hamilton,Broughton,village,Broughton (PWS),4/10/19 15:43,2018,101,0,101,0,82,5,0,0,0,0,14
IL1690050,Schuyler,Browning,village,Browning (PWS),4/5/19 11:30,2018,81,1,80,0,0,0,0,0,0,0,81
IL0510100,Fayette,Brownstown,village,Brownstown (PWS),4/9/19 9:11,2018,347,0,347,0,0,0,0,0,325,0,22
IL0130100,Calhoun,Brussels,village,Brussels (PWS),5/9/19 17:46,2018,98,0,98,0,0,98,0,0,0,0,0
IL0570200,Fulton,Bryant,village,Bryant (PWS),4/29/19 11:25,2018,115,0,115,0,0,0,0,0,15,0,100
IL0910250,Kankakee,Buckingham,village,Buckingham (PWS),9/6/19 10:23,2018,100,0,100,0,99,0,1,0,0,0,0
IL0750150,Iroquois,Buckley,village,Buckley (PWS),4/15/19 18:52,2018,290,0,290,0,285,0,0,0,5,0,0
IL0550100,Franklin,Buckner,village,Buckner (PWS),4/5/19 10:29,2018,279,0,279,0,82,12,0,0,84,0,101
IL0314180,Cook,Buffalo Grove,village,Buffalo Grove (PWS),4/26/19 14:14,2018,11976,0,11976,1,3,4619,1,0,7352,0,0
IL1170100,Macoupin,Bunker Hill,city,Bunker Hill (PWS),4/29/19 8:21,2018,950,0,950,0,50,500,50,0,0,0,350
IL0110150,Bureau,Bureau Junction,village,Bureau Junction (PWS),4/15/19 13:39,2018,122,0,122,0,77,0,2,0,17,0,26
IL0890150,Kane,Burlington,village,Burlington (PWS),4/26/19 13:14,2018,187,0,187,0,0,0,0,0,187,0,0
IL0310360,Cook,Burnham,village,Burnham (PWS),5/21/19 17:47,2018,1222,0,1222,0,0,708,0,0,514,0,0
IL1930010,White,Burnt Prairie,village,Burnt Prairie (PWS),3/28/19 19:46,2018,220,0,220,0,0,0,0,65,35,0,120
IL0434190,DuPage,Burr Ridge,village,Burr Ridge (PWS),3/14/19 11:08,2018,4215,0,4215,0,0,0,0,0,4073,140,2
IL1990050,Williamson,Bush,village,Bush (PWS),3/28/19 19:49,2018,170,0,170,0,130,0,0,0,0,0,40
IL1090150,McDonough,Bushnell,city,Bushnell (PWS),4/14/19 15:54,2018,1386,0,1386,69,0,0,138,0,900,2,277
IL1350050,Montgomery,Butler,village,Butler (PWS),4/11/19 9:20,2018,118,0,118,0,118,0,0,0,0,0,0
IL1410100,Ogle,Byron,city,Byron (PWS),5/28/19 13:15,2018,1859,0,1859,0,0,0,68,0,449,0,1342
IL0534200,Ford,Cabery,village,Cabery (PWS),5/23/19 10:41,2018,130,0,130,0,0,0,0,0,0,0,130
IL1630200,St. Clair,Cahokia,village,Cahokia (PWS),4/10/19 16:50,2018,1700,0,1700,0,200,0,0,0,0,0,1500
IL1590050,Richland,Calhoun,village,Calhoun (PWS),3/28/19 19:51,2018,84,0,84,0,74,0,0,0,0,0,10
IL0310390,Cook,Calumet City,city,Calumet City (PWS),4/30/19 15:29,2018,9682,3,9679,4420,1399,3026,835,0,0,0,2
IL0310420,Cook,Calumet Park,village,Calumet Park (PWS),4/29/19 8:45,2018,2241,0,2241,2000,241,0,0,0,0,0,0
IL0410100,Douglas,Camargo,village,Camargo (PWS),4/9/19 7:55,2018,316,0,316,0,0,0,38,5,267,0,6
IL1990100,Williamson,Cambria,village,Cambria (PWS),5/1/19 11:57,2018,967,0,967,0,0,0,0,0,721,0,246
IL0730300,Henry,Cambridge,village,Cambridge (PWS),3/14/19 9:46,2018,898,0,898,195,178,0,1,0,503,2,19
IL0010050,Adams,Camp Point,village,Camp Point (PWS),4/15/19 15:00,2018,555,0,555,0,0,0,0,0,510,0,45
IL0770100,Jackson,Campbell Hill,village,Campbell Hill (PWS),3/29/19 16:33,2018,260,0,260,0,260,0,0,0,0,0,0
IL1050050,Livingston,Campus,village,Campus (PWS),5/8/19 14:56,2018,71,0,71,0,0,0,0,0,60,0,11
IL0570250,Fulton,Canton,city,Canton (PWS),4/29/19 11:44,2018,5875,0,5875,200,1250,0,350,2575,500,0,1000
IL0070100,Boone,Capron,village,Capron (PWS),3/15/19 11:49,2018,448,0,448,18,36,8,15,0,329,0,42
IL1610100,Rock Island,Carbon Cliff,village,Carbon Cliff (PWS),5/22/19 14:29,2018,695,0,695,0,694,0,1,0,0,0,0
IL0630100,Grundy,Carbon Hill,village,Carbon Hill (PWS),3/21/19 12:49,2018,156,0,156,0,0,16,7,0,0,0,133
IL0770150,Jackson,Carbondale,city,Carbondale (PWS),5/28/19 14:21,2018,8104,19,8085,0,0,0,0,0,7841,17,246
IL1170150,Macoupin,Carlinville,city,Carlinville (PWS),4/15/19 12:27,2018,2932,2,2930,500,1382,500,50,0,0,0,500
IL1130250,McLean,Carlock,village,Carlock (PWS),4/30/19 10:15,2018,242,0,242,0,0,189,0,0,52,0,1
IL0270300,Clinton,Carlyle,city,Carlyle (PWS),5/1/19 12:45,2018,1680,6,1674,12,1387,0,37,0,212,0,32
IL1930100,White,Carmi,city,Carmi (PWS),4/5/19 9:00,2018,3148,3,3145,0,1866,248,210,0,0,142,682
IL0430200,DuPage,Carol Stream,village,Carol Stream (PWS),4/12/19 12:34,2018,11104,0,11104,0,1427,0,0,0,9677,0,0
IL0890200,Kane,Carpentersville,village,Carpentersville (PWS),4/1/19 7:56,2018,10545,1,10544,194,416,0,3,0,9931,1,0
IL1650050,Saline,Carrier Mills,village,Carrier Mills (PWS),5/23/19 15:42,2018,987,0,987,0,103,0,40,0,20,0,824
IL0610050,Greene,Carrollton,city,Carrollton (PWS),4/2/19 10:00,2018,1169,1,1168,0,205,0,748,0,17,0,199
IL1990150,Williamson,Carterville,city,Carterville (PWS),3/14/19 11:00,2018,3770,0,3770,0,0,0,0,0,3002,0,768
IL0670250,Hancock,Carthage,city,Carthage (PWS),4/2/19 14:07,2018,1275,0,1275,0,127,0,0,0,765,0,383
IL1110100,McHenry,Cary,village,Cary (PWS),3/22/19 14:42,2018,6444,0,6444,18,154,2551,6,0,3707,8,0
IL0230050,Clark,Casey,city,Casey (PWS),4/15/19 11:12,2018,1648,0,1648,0,1161,0,210,0,220,0,57
IL1630250,St. Clair,Caseyville,village,Caseyville (PWS),4/14/19 20:11,2018,5665,0,5665,0,2895,0,900,0,1800,0,70
IL1830150,Vermilion,Catlin,village,Catlin (PWS),4/10/19 13:17,2018,952,0,952,0,0,0,2,0,556,0,394
IL0690050,Hardin,Cave-In-Rock,village,Cave-In-Rock (PWS),3/29/19 16:36,2018,170,0,170,0,148,0,0,0,10,0,12
IL0995040,LaSalle,Cedar Point,village,Cedar Point Water Company (PWS),3/19/19 20:49,2018,142,0,142,2,78,0,0,0,57,0,5
IL1770050,Stephenson,Cedarville,village,Cedarville (PWS),4/3/19 8:30,2018,331,0,331,0,0,0,0,0,327,0,4
IL1214220,Marion,Centralia,city,Centralia (PWS),3/19/19 7:46,2018,5885,10,5875,0,0,0,0,0,4789,0,1096
IL1470100,Piatt,Cerro Gordo,village,Cerro Gordo (PWS),4/11/19 15:09,2018,633,0,633,0,500,0,10,0,115,0,8
IL0150050,Carroll,Chadwick,village,Chadwick (PWS),4/1/19 18:47,2018,265,0,265,0,40,0,0,0,225,0,0
IL0170200,Cass,Chandlerville,village,Chandlerville (PWS),4/5/19 10:33,2018,282,0,282,0,49,222,0,0,0,0,11
IL1970200,Will,Channahon,village,Channahon (PWS),3/15/19 13:13,2018,3343,0,3343,0,0,0,0,0,3343,0,0
IL1370050,Morgan,Chapin,village,Chapin (PWS),4/3/19 10:42,2018,295,1,294,0,73,0,0,0,202,0,20
IL0290100,Coles,Charleston,city,Charleston (PWS),4/12/19 15:07,2018,6844,2,6842,0,6307,0,0,537,0,0,0
IL1670300,Sangamon,Chatham,village,Chatham (PWS),4/15/19 15:04,2018,5865,1,5864,0,0,2241,0,0,3624,0,0
IL1050100,Livingston,Chatsworth,town,Chatsworth (PWS),4/9/19 13:50,2018,600,0,600,15,20,0,50,30,485,0,0
IL0754240,Iroquois,Chebanse,village,Chebanse (PWS),5/22/19 21:21,2018,423,0,423,0,10,65,55,73,100,0,120
IL1130300,McLean,Chenoa,city,Chenoa (PWS),4/12/19 11:35,2018,765,0,765,46,50,0,5,0,510,0,154
IL0110200,Bureau,Cherry,village,Cherry (PWS),5/24/19 0:00,2018,254,0,254,0,0,0,50,0,200,0,4
IL2010050,Winnebago,Cherry Valley,village,Cherry Valley (PWS),5/21/19 10:28,2018,2228,1,2227,0,126,2029,0,0,23,0,50
IL1570100,Randolph,Chester,city,Chester (PWS),4/29/19 11:32,2018,2578,2,2576,0,253,0,264,0,1547,252,262
IL1170200,Macoupin,Chesterfield,village,Chesterfield (PWS),4/11/19 16:28,2018,250,0,250,0,225,0,0,0,0,0,25
IL0316000,Cook,Chicago,city,Chicago (PWS),4/15/19 18:14,2018,520673,962,519711,392614,120760,0,0,3478,0,3821,0
IL0310450,Cook,Chicago Heights,city,Chicago Heights (PWS),4/29/19 8:30,2018,9004,4,9000,3604,2000,0,0,1000,2400,0,0
IL0310480,Cook,Chicago Ridge,village,Chicago Ridge (PWS),5/30/19 12:12,2018,2871,0,2871,0,0,130,214,9,2109,372,37
IL1430200,Peoria,Chillicothe,city,Chillicothe (PWS),3/26/19 11:53,2018,2672,0,2672,0,2672,0,0,0,0,0,0
IL0450100,Edgar,Chrisman,city,Chrisman (PWS),4/26/19 13:27,2018,615,0,615,0,0,550,0,0,50,0,15
IL0550150,Franklin,Christopher,city,Christopher (PWS),4/16/19 9:22,2018,1411,1,1410,0,450,0,21,0,900,0,40
IL0310510,Cook,Cicero,town,Cicero (PWS),4/6/19 9:17,2018,15175,0,15175,14872,303,0,0,0,0,0,0
IL1470150,Piatt,Cisco,village,Cisco (PWS),4/9/19 8:06,2018,128,0,128,0,86,0,2,0,40,0,0
IL1910050,Wayne,Cisne,village,Cisne (PWS),3/29/19 16:40,2018,328,0,328,0,150,0,0,0,76,0,102
IL0750200,Iroquois,Cissna Park,village,Cissna Park (PWS),4/2/19 14:58,2018,440,0,440,0,278,0,0,0,140,0,22
IL1590100,Richland,Claremont,village,Claremont (PWS),3/29/19 16:41,2018,74,0,74,0,12,0,0,0,30,0,32
IL0430250,DuPage,Clarendon Hills,village,Clarendon Hills (PWS),4/23/19 7:41,2018,2820,0,2820,62,539,0,0,0,2212,7,0
IL0250050,Clay,Clay City,village,Clay City (PWS),4/10/19 12:32,2018,469,0,469,0,0,0,0,0,445,0,24
IL0010100,Adams,Clayton,village,Clayton (PWS),4/12/19 15:16,2018,320,0,320,0,0,0,0,0,320,0,0
IL0750250,Iroquois,Clifton,village,Clifton (PWS),3/18/19 8:20,2018,572,0,572,0,197,0,25,0,300,0,50
IL0390050,DeWitt,Clinton,city,Clinton (PWS),4/29/19 7:29,2018,3270,0,3270,0,0,900,310,1100,901,0,59
IL0630200,Grundy,Coal City,village,Coal City (PWS),3/21/19 13:44,2018,2283,0,2283,980,0,0,25,0,1108,0,170
IL1614260,Rock Island,Coal Valley,village,Coal Valley (PWS),3/19/19 7:34,2018,1380,0,1380,0,1378,0,0,0,0,0,2
IL1350100,Montgomery,Coalton,village,Coalton (PWS),4/29/19 20:24,2018,162,0,162,0,0,0,0,0,140,0,22
IL1810150,Union,Cobden,village,Cobden (PWS),4/17/19 9:43,2018,639,0,639,0,0,45,20,329,13,0,232
IL1350150,Montgomery,Coffeen,city,Coffeen (PWS),4/26/19 14:01,2018,306,0,306,0,303,0,0,0,0,0,3
IL1090200,McDonough,Colchester,city,Colchester (PWS),4/11/19 16:35,2018,777,0,777,0,596,0,0,0,118,0,63
IL1130350,McLean,Colfax,village,Colfax (PWS),4/26/19 12:31,2018,489,0,489,0,0,0,0,0,489,0,0
IL1194280,Madison,Collinsville,city,Collinsville (PWS),5/2/19 9:17,2018,12665,0,12665,60,0,0,170,0,12200,0,235
IL1990200,Williamson,Colp,village,Colp (PWS),3/29/19 16:46,2018,390,1,389,0,365,0,0,0,0,0,25
IL1330050,Monroe,Columbia,city,Columbia (PWS),4/16/19 11:29,2018,4122,1,4121,0,3658,0,0,0,266,0,198
IL1030150,Lee,Compton,village,Compton (PWS),4/8/19 9:46,2018,110,0,110,0,0,0,0,84,25,0,1
IL1370100,Morgan,Concord,village,Concord (PWS),4/2/19 10:35,2018,122,0,122,0,0,0,0,0,0,0,122
IL2030100,Woodford,Congerville,village,Congerville (PWS),4/14/19 21:20,2018,214,0,214,0,0,0,0,0,167,0,47
IL1130400,McLean,Cooksville,village,Cooksville (PWS),6/3/19 10:20,2018,120,0,120,0,0,0,0,0,120,0,0
IL1610150,Rock Island,Cordova,village,Cordova (PWS),4/10/19 8:54,2018,325,0,325,0,1,0,0,0,323,0,1
IL1050150,Livingston,Cornell,village,Cornell (PWS),5/17/19 9:52,2018,246,0,246,0,0,1,11,141,0,0,93
IL0370051,DeKalb,Cortland,town,Cortland (PWS),4/2/19 13:23,2018,1510,0,1510,0,0,0,0,0,1480,0,30
IL1570150,Randolph,Coulterville,village,Coulterville (PWS),3/15/19 9:18,2018,507,0,507,0,400,52,0,0,0,0,55
IL0310540,Cook,Country Club Hills,city,Country Club Hills (PWS),4/26/19 12:58,2018,5766,0,5766,0,0,1003,1307,0,3456,0,0
IL0310570,Cook,Countryside,city,Countryside (PWS),5/20/19 12:31,2018,1593,3,1590,0,0,1590,0,0,0,3,0
IL1730050,Shelby,Cowden,village,Cowden (PWS),4/15/19 20:01,2018,280,0,280,0,260,0,5,0,0,0,15
IL1990250,Williamson,Crainville,village,Crainville (PWS),5/6/19 10:55,2018,757,0,757,0,0,10,10,0,0,0,737
IL1990300,Williamson,Creal Springs,city,Creal Springs (PWS),3/29/19 16:48,2018,324,0,324,0,292,0,0,0,0,0,32
IL0750300,Iroquois,Crescent City,village,Crescent City (PWS),4/15/19 18:52,2018,322,0,322,0,317,0,0,0,5,0,0
IL1970250,Will,Crest Hill,city,Crest Hill (PWS),4/11/19 8:06,2018,6427,1,6426,0,2485,0,0,0,3941,1,0
IL1410150,Ogle,Creston,village,Creston (PWS),3/20/19 10:12,2018,218,0,218,0,218,0,0,0,0,0,0
IL0310600,Cook,Crestwood,village,Crestwood (PWS),4/29/19 10:02,2018,3387,0,3387,0,0,141,45,0,3198,0,3
IL1970300,Will,Crete,village,Crete (PWS),3/14/19 15:56,2018,2953,0,2953,273,0,2014,0,0,666,0,0
IL1790100,Tazewell,Creve Coeur,village,Creve Coeur (PWS),4/16/19 15:03,2018,2375,0,2375,0,0,0,0,100,2000,75,200
IL1930150,White,Crossville,village,Crossville (PWS),4/5/19 13:43,2018,662,0,662,0,0,0,0,174,163,0,325
IL1110150,McHenry,Crystal Lake,city,Crystal Lake (PWS),4/15/19 7:23,2018,13689,3,13686,1459,0,0,0,0,12227,3,0
IL0570300,Fulton,Cuba,city,Cuba (PWS),4/14/19 15:56,2018,575,0,575,0,0,0,0,0,460,3,112
IL1050200,Livingston,Cullom,village,Cullom (PWS),5/28/19 11:27,2018,291,0,291,0,0,0,0,0,270,0,21
IL1450050,Perry,Cutler,village,Cutler (PWS),3/29/19 16:49,2018,202,0,202,0,174,0,0,0,0,0,28
IL0650150,Hamilton,Dahlgren,village,Dahlgren (PWS),4/1/19 10:36,2018,373,0,373,0,290,1,0,0,15,0,67
IL1770100,Stephenson,Dakota,village,Dakota (PWS),3/22/19 6:34,2018,200,0,200,0,200,0,0,0,0,0,0
IL0674300,Hancock,Dallas City,city,Dallas City-Wtp (PWS),4/2/19 14:01,2018,500,0,500,100,200,0,0,0,100,0,100
IL1390150,Moultrie,Dalton City,village,Dalton City (PWS),4/8/19 9:43,2018,250,0,250,0,43,0,0,0,200,0,7
IL0110250,Bureau,Dalzell,village,Dalzell (PWS),4/15/19 13:40,2018,299,0,299,0,0,0,0,0,284,0,15
IL0275200,Clinton,Damiansville,village,Damiansville (PWS),4/26/19 13:50,2018,263,0,263,0,263,0,0,0,0,0,0
IL0750350,Iroquois,Danforth,village,Danforth (PWS),4/15/19 18:53,2018,220,0,220,0,215,0,0,0,5,0,0
IL1130450,McLean,Danvers,village,Danvers (PWS),3/25/19 14:24,2018,478,0,478,0,150,0,0,0,278,0,50
IL0430270,DuPage,Darien,city,Darien (PWS),4/10/19 10:02,2018,9500,3,9497,0,174,0,0,0,9321,0,5
IL1770150,Stephenson,Davis,village,Davis (PWS),3/28/19 5:36,2018,240,0,240,0,0,0,0,20,220,0,0
