"FacilityId","County","FacilityName","ReportedDate","ReportingYear","TotalServiceConnections","WholesaleConnections","RetailConnections","ServicesLead","ServicesUnknownMaterial","ServicesCopperLeadSolder","ServicesGalvanized","ServicesUnknownNotLead","ServicesCopperNonLeadSolder","ServicesCastDuctileIronTransite","ServicesPlastic"
"IL1171050","Macoupin","Staunton (PWS)","5/29/2020 9:48:44 AM","2019","3289","0","3289","0","0","0","0","0","1151","0","2138"
"IL0314860","Cook","Steger (PWS)","5/29/2020 9:34:07 AM","2019","3425","270","3155","5","3420","0","0","0","0","0","0"
"IL0312370","Cook","Palos Heights (PWS)","5/29/2020 8:19:05 AM","2019","5637","1","5636","0","0","0","0","0","5633","4","0"
"IL1190260","Madison","University Flats MHP (PWS)","5/29/2020 5:54:19 AM","2019","103","0","103","0","0","0","0","0","0","0","103"
"IL1570400","Randolph","Prairie Du Rocher (PWS)","5/29/2020 5:53:28 AM","2019","302","0","302","0","0","0","0","0","216","0","86"
"IL1610700","Rock Island","Silvis (PWS)","5/28/2020 4:07:04 PM","2019","2615","2","2613","427","0","670","0","0","1322","27","169"
"IL0195645","Champaign","Ehlers MHP (PWS)","5/28/2020 2:00:04 PM","2019","50","0","50","0","0","0","0","0","5","0","45"
"IL0195625","Champaign","Country View Estates MHP (PWS)","5/28/2020 1:59:07 PM","2019","41","0","41","0","0","0","0","0","5","0","36"
"IL0313000","Cook","Stickney (PWS)","5/28/2020 1:42:03 PM","2019","1901","0","1901","1825","0","10","20","0","36","9","1"
"IL1190970","Madison","South Roxana (PWS)","5/28/2020 12:00:32 PM","2019","800","0","800","0","0","0","1","0","799","0","0"
"IL1070100","Logan","Broadwell (PWS)","5/28/2020 11:28:22 AM","2019","74","0","74","0","0","64","0","0","0","0","10"
"IL1130150","McLean","Bellflower (PWS)","5/28/2020 11:25:01 AM","2019","180","0","180","0","0","0","0","145","0","0","35"
"IL1170100","Macoupin","Bunker Hill (PWS)","5/28/2020 11:24:21 AM","2019","950","0","950","0","25","0","50","0","500","0","375"
"IL0313150","Cook","Westchester (PWS)","5/28/2020 10:36:15 AM","2019","7182","0","7182","3697","0","0","0","0","3485","0","0"
"IL1570650","Randolph","Steeleville (PWS)","5/28/2020 9:41:17 AM","2019","921","0","921","0","0","901","0","0","0","0","20"
"IL0894690","Kane","Montgomery (PWS)","5/27/2020 9:28:53 PM","2019","9398","0","9398","75","284","972","25","0","8041","0","1"
