"FacilityId","County","FacilityName","ReportedDate","ReportingYear","TotalServiceConnections","WholesaleConnections","RetailConnections","ServicesLead","ServicesUnknownMaterial","ServicesCopperLeadSolder","ServicesGalvanized","ServicesUnknownNotLead","ServicesCopperNonLeadSolder","ServicesCastDuctileIronTransite","ServicesPlastic"
"IL1835300","Vermilion","Olivet PWD (PWS)","3/30/2020 5:36:10 PM","2019","140","0","140","0","115","0","0","0","25","0","0"
"IL0450150","Edgar","Hume (PWS)","3/30/2020 5:34:13 PM","2019","220","0","220","0","0","0","0","0","218","0","2"
"IL0190700","Champaign","Royal (PWS)","3/30/2020 5:32:10 PM","2019","150","0","150","0","98","0","0","0","5","0","47"
"IL0190300","Champaign","Homer (PWS)","3/30/2020 5:28:28 PM","2019","514","0","514","0","0","32","36","294","54","0","98"
"IL1834020","Vermilion","Allerton (PWS)","3/30/2020 5:23:11 PM","2019","130","0","130","0","0","0","0","124","6","0","0"
"IL0274700","Clinton","New Baden (PWS)","3/30/2020 3:16:08 PM","2019","1493","1","1492","0","557","0","0","0","907","1","28"
"IL0311960","Cook","Morton Grove - Niles Water Commission (PWS)","3/30/2020 2:55:55 PM","2019","8","7","1","0","0","0","0","0","1","7","0"
"IL0970550","Lake","Highwood (PWS)","3/30/2020 12:53:17 PM","2019","1152","0","1152","19","1119","9","0","0","4","1","0"
"IL1710010","Scott","Exeter-Merritt Water Coop (PWS)","3/30/2020 12:03:33 PM","2019","323","0","323","0","2","0","0","0","0","0","321"
"IL2015500","Winnebago","North Park PWD (PWS)","3/30/2020 11:14:56 AM","2019","13323","1","13322","0","0","0","0","0","5256","53","8014"
"IL1990400","Williamson","Herrin (PWS)","3/30/2020 9:40:59 AM","2019","6127","0","6127","1262","2535","0","135","0","675","0","1520"
"IL0312160","Cook","North Riverside (PWS)","3/30/2020 9:28:25 AM","2019","2447","0","2447","1545","0","789","0","0","78","35","0"
"IL1150150","Macon","Decatur (PWS)","3/30/2020 9:21:15 AM","2019","29094","3","29091","4600","217","0","1711","0","22149","417","0"
"IL1910010","Wayne","Western Wayne Water District (PWS)","3/30/2020 9:17:04 AM","2019","1353","1","1352","0","849","0","42","0","86","0","376"
"IL2030200","Woodford","Eureka-Wtp (PWS)","3/30/2020 9:11:08 AM","2019","2128","0","2128","59","100","106","461","531","614","0","257"
"IL1110100","McHenry","Cary (PWS)","3/30/2020 6:53:27 AM","2019","6471","0","6471","17","154","2548","6","0","3737","9","0"
"IL1310100","Mercer","Joy (PWS)","3/29/2020 4:07:34 PM","2019","205","0","205","25","161","0","0","0","15","0","4"
"IL0250020","Clay","Clay County Water Inc (PWS)","3/29/2020 10:03:27 AM","2019","733","0","733","0","0","0","0","0","0","0","733"
"IL0110850","Bureau","Princeton (PWS)","3/29/2020 8:48:15 AM","2019","3810","0","3810","0","3810","0","0","0","0","0","0"
"IL0430551","DuPage","Lisle (PWS)","3/28/2020 1:08:03 PM","2019","6198","1","6197","2","310","0","3","0","5882","1","0"
"IL1410150","Ogle","Creston (PWS)","3/28/2020 9:45:52 AM","2019","218","0","218","0","198","20","0","0","0","0","0"
"IL0850200","Jo Daviess","Galena (PWS)","3/28/2020 9:32:08 AM","2019","2038","0","2038","1","1113","281","0","0","539","0","104"
"IL2010460","Winnebago","South Bluff MHP (PWS)","3/28/2020 9:29:07 AM","2019","223","0","223","0","0","0","223","0","0","0","0"
"IL1977870","Will","Aqua Illinois - Willowbrook (PWS)","3/27/2020 2:11:58 PM","2019","801","0","801","0","800","0","1","0","0","0","0"
"IL1190700","Madison","Marine (PWS)","3/27/2020 2:11:39 PM","2019","487","0","487","0","0","0","12","213","175","0","87"
"IL1977210","Will","Aqua Illinois - Oakview (PWS)","3/27/2020 2:11:21 PM","2019","108","0","108","0","107","0","1","0","0","0","0"
"IL1970060","Will","Aqua Illinois - Village Woods (PWS)","3/27/2020 2:10:28 PM","2019","268","0","268","0","268","0","0","0","0","0","0"
"IL0915450","Kankakee","Aqua Illinois - Skyline (PWS)","3/27/2020 2:09:45 PM","2019","87","0","87","0","87","0","0","0","0","0","0"
"IL0910720","Kankakee","Aqua Illinois - Sun River Terrace (PWS)","3/27/2020 2:06:08 PM","2019","201","0","201","0","200","0","0","1","0","0","0"
"IL0915220","Kankakee","Aqua Illinois - Highland Estates (PWS)","3/27/2020 2:02:14 PM","2019","54","0","54","0","54","0","0","0","0","0","0"
"IL1790200","Tazewell","East Peoria (PWS)","3/27/2020 12:00:59 PM","2019","7850","0","7850","248","0","0","2","395","7000","25","180"
"IL0015150","Adams","Adams County Water District No 1 (PWS)","3/27/2020 11:01:26 AM","2019","336","0","336","0","0","0","0","0","0","0","336"
"IL0310630","Cook","Des Plaines (PWS)","3/27/2020 10:20:31 AM","2019","16735","1","16734","594","6780","0","410","0","8859","0","92"
"IL1631350","St. Clair","Summerfield (PWS)","3/27/2020 9:56:17 AM","2019","194","0","194","0","3","0","0","0","186","0","5"
"IL1190110","Madison","Meridian Village (PWS)","3/27/2020 9:54:30 AM","2019","34","0","34","0","0","0","0","1","33","0","0"
"IL0850500","Jo Daviess","Warren (PWS)","3/27/2020 9:46:08 AM","2019","737","0","737","0","0","15","8","0","595","4","115"
"IL1635030","St. Clair","Commonfields Of Cahokia PWD (PWS)","3/27/2020 9:33:35 AM","2019","4081","5","4076","0","0","608","587","156","1604","5","1121"
"IL1435750","Peoria","Fox Creek Farms Water Company (PWS)","3/27/2020 7:51:15 AM","2019","81","0","81","0","27","0","0","0","28","0","26"
"IL1435245","Peoria","Esquire Estates MHP (PWS)","3/27/2020 7:44:21 AM","2019","10","0","10","0","1","0","0","0","9","0","0"
"IL1430150","Peoria","Brimfield (PWS)","3/27/2020 7:40:04 AM","2019","344","0","344","0","85","0","0","0","159","0","100"
"IL0870050","Johnson","Belknap (PWS)","3/27/2020 12:18:13 AM","2019","325","0","325","0","169","4","0","145","7","0","0"
"IL1615800","Rock Island","Suburban Heights Subdivision (PWS)","3/26/2020 3:38:24 PM","2019","30","0","30","0","0","0","0","0","30","0","0"
"IL1615250","Rock Island","Croppers 1st 4th And 5th Addition (PWS)","3/26/2020 3:05:26 PM","2019","198","0","198","0","0","0","0","0","198","0","0"
"IL1610090","Rock Island","Arrow Head Ranch (PWS)","3/26/2020 12:01:54 PM","2019","9","0","9","0","0","0","3","0","0","3","3"
"IL0431100","DuPage","Willowbrook (PWS)","3/26/2020 11:30:19 AM","2019","2144","0","2144","0","3","2092","2","0","47","0","0"
"IL1394040","Moultrie","Arthur (PWS)","3/26/2020 10:32:27 AM","2019","1156","0","1156","0","777","0","0","0","325","0","54"
"IL1770150","Stephenson","Davis (PWS)","3/26/2020 9:22:59 AM","2019","240","0","240","2","109","28","9","0","81","1","10"
"IL1770500","Stephenson","Rock City (PWS)","3/26/2020 9:17:03 AM","2019","164","0","164","0","20","124","20","0","0","0","0"
"IL1930100","White","Carmi (PWS)","3/26/2020 8:18:52 AM","2019","3410","3","3407","0","837","0","270","0","1414","170","719"
"IL0630600","Grundy","Morris (PWS)","3/26/2020 7:20:39 AM","2019","5584","0","5584","1156","0","0","0","0","4117","68","243"
"IL1671200","Sangamon","Springfield (PWS)","3/25/2020 3:55:09 PM","2019","54996","49","54947","92","10874","0","261","42924","776","5","64"
"IL1790300","Tazewell","Hopedale (PWS)","3/25/2020 3:23:08 PM","2019","373","0","373","0","0","0","30","0","328","0","15"
"IL1610450","Rock Island","Moline (PWS)","3/25/2020 11:38:55 AM","2019","17038","1","17037","1502","6716","0","1210","0","7118","492","0"
"IL0950200","Knox","Galesburg (PWS)","3/25/2020 9:46:50 AM","2019","12260","7","12253","1504","306","0","131","0","5786","70","4463"
"IL0374870","DeKalb","Somonauk (PWS)","3/25/2020 9:29:10 AM","2019","737","0","737","0","419","0","0","0","313","0","5"
"IL0430100","DuPage","Bloomingdale (PWS)","3/25/2020 9:12:40 AM","2019","6985","0","6985","0","0","3836","0","0","3149","0","0"
"IL1930300","White","Mill Shoals (PWS)","3/24/2020 9:35:21 PM","2019","125","0","125","0","52","13","5","0","2","0","53"
"IL1450150","Perry","Pinckneyville (PWS)","3/24/2020 3:09:35 PM","2019","1823","0","1823","0","0","0","10","770","1002","0","41"
"IL0930150","Kendall","Oswego (PWS)","3/24/2020 3:02:22 PM","2019","11386","0","11386","5","51","0","46","550","10700","31","3"
"IL1630650","St. Clair","Lebanon (PWS)","3/24/2020 2:56:54 PM","2019","1864","0","1864","0","1807","0","1","0","25","0","31"
"IL0730550","Henry","Colona West (PWS)","3/24/2020 2:55:35 PM","2019","970","0","970","0","0","0","0","0","970","0","0"
"IL0730400","Henry","Colona East (PWS)","3/24/2020 2:53:39 PM","2019","1142","0","1142","0","0","0","0","0","1142","0","0"
"IL1835200","Vermilion","East Lynn Community Water System (PWS)","3/24/2020 2:15:35 PM","2019","65","0","65","0","65","0","0","0","0","0","0"
"IL0195200","Champaign","Dewey Pwd (PWS)","3/24/2020 2:15:14 PM","2019","56","0","56","0","51","0","0","0","0","0","5"
"IL1830050","Vermilion","Alvin (PWS)","3/24/2020 2:14:45 PM","2019","122","0","122","0","106","0","0","0","4","0","12"
"IL0955200","Knox","Aqua Illinois - Oak Run (PWS)","3/24/2020 12:11:00 PM","2019","760","0","760","0","0","0","0","438","0","0","322"
"IL0810300","Jefferson","Mount Vernon (PWS)","3/24/2020 10:41:53 AM","2019","7195","6","7189","0","0","0","0","0","7045","50","100"
"IL0450200","Edgar","Kansas (PWS)","3/24/2020 10:18:57 AM","2019","331","331","0","0","294","0","0","0","29","0","8"
"IL1950550","Whiteside","Tampico (PWS)","3/24/2020 10:00:25 AM","2019","345","0","345","40","0","0","200","0","90","0","15"
"IL0315310","Cook","Glenbrook Sanitary District (PWS)","3/24/2020 9:12:15 AM","2019","342","0","342","0","0","1","0","12","329","0","0"
"IL1790250","Tazewell","Green Valley (PWS)","3/24/2020 9:08:20 AM","2019","295","0","295","0","0","0","0","40","195","1","59"
"IL1990550","Williamson","Marion (PWS)","3/24/2020 8:36:17 AM","2019","9892","0","9892","0","9702","66","7","0","0","1","116"
"IL0890160","Kane","Pingree Grove (PWS)","3/24/2020 8:30:32 AM","2019","3598","0","3598","0","0","0","0","0","2736","0","862"
"IL0870350","Johnson","Vienna (PWS)","3/24/2020 7:55:42 AM","2019","774","0","774","0","550","92","30","0","1","0","101"
"IL1254840","Mason","San Jose (PWS)","3/23/2020 4:58:40 PM","2019","251","0","251","0","0","145","0","3","0","0","103"
"IL1790030","Tazewell","Pekin Federal Correctional Institution And Prison Camp (PWS)","3/23/2020 4:57:00 PM","2019","18","18","0","0","0","0","0","0","18","0","0"
"IL1070450","Logan","New Holland (PWS)","3/23/2020 4:56:17 PM","2019","139","0","139","0","5","0","6","90","26","0","12"
"IL1070250","Logan","Hartsburg (PWS)","3/23/2020 4:50:10 PM","2019","161","0","161","0","0","0","7","115","20","0","19"
"IL1070200","Logan","Emden (PWS)","3/23/2020 4:47:10 PM","2019","240","0","240","0","0","0","0","0","226","0","14"
"IL1570700","Randolph","Tilden (PWS)","3/23/2020 3:16:40 PM","2019","550","0","550","0","455","0","0","0","65","0","30"
"IL1910400","Wayne","Sims (PWS)","3/23/2020 3:14:32 PM","2019","149","0","149","0","137","0","0","0","0","0","12"
"IL1930450","White","Springerton (PWS)","3/23/2020 3:12:32 PM","2019","110","0","110","0","0","0","0","0","21","0","89"
"IL1990200","Williamson","Colp (PWS)","3/23/2020 3:10:19 PM","2019","381","1","380","0","350","0","0","0","0","0","31"
"IL0775160","Jackson","Crab Orchard Lake MHP (PWS)","3/23/2020 3:07:45 PM","2019","100","0","100","0","0","0","0","0","0","0","100"
"IL1590220","Richland","Acorn Acres MHP (PWS)","3/23/2020 3:06:27 PM","2019","22","0","22","0","0","0","0","0","0","0","22"
"IL1990500","Williamson","Johnston City (PWS)","3/23/2020 3:04:58 PM","2019","1749","0","1749","175","0","0","0","0","1225","0","349"
"IL1510100","Pope","Golconda (PWS)","3/23/2020 2:51:06 PM","2019","292","0","292","0","0","0","0","0","201","0","91"
"IL1590100","Richland","Claremont (PWS)","3/23/2020 2:47:54 PM","2019","79","0","79","0","0","0","0","7","35","0","37"
"IL0770250","Jackson","Dowell (PWS)","3/23/2020 2:39:12 PM","2019","434","0","434","0","0","0","0","324","0","0","110"
"IL0555200","Franklin","Greenwood-Creek Nation Water Company (PWS)","3/23/2020 2:30:49 PM","2019","987","0","987","0","0","0","0","432","380","0","175"
"IL1910200","Wayne","Jeffersonville (Geff) (PWS)","3/23/2020 2:27:36 PM","2019","160","0","160","0","0","0","50","32","36","0","42"
"IL0750250","Iroquois","Clifton (PWS)","3/23/2020 1:38:34 PM","2019","572","0","572","0","0","0","25","197","300","0","50"
"IL0750050","Iroquois","Ashkum (PWS)","3/23/2020 1:33:13 PM","2019","343","0","343","0","0","0","0","46","290","0","7"
"IL0750850","Iroquois","Thawville (PWS)","3/23/2020 1:28:16 PM","2019","100","0","100","0","0","0","5","40","45","0","10"
"IL1130350","McLean","Colfax (PWS)","3/23/2020 1:10:59 PM","2019","489","0","489","0","0","0","0","0","489","0","0"
"IL1630200","St. Clair","Cahokia (PWS)","3/23/2020 12:29:30 PM","2019","1700","0","1700","0","200","0","0","0","0","0","1500"
"IL0975790","Lake","Lake County Public Water District (PWS)","3/23/2020 11:49:41 AM","2019","4","4","0","0","0","0","0","0","0","4","0"
"IL1070500","Logan","Middletown (PWS)","3/23/2020 11:34:00 AM","2019","200","0","200","0","200","0","0","0","0","0","0"
"IL1070300","Logan","Latham (PWS)","3/23/2020 11:32:20 AM","2019","300","0","300","0","300","0","0","0","0","0","0"
"IL1070150","Logan","Elkhart (PWS)","3/23/2020 11:30:19 AM","2019","250","0","250","0","250","0","0","0","0","0","0"
"IL1070400","Logan","Mount Pulaski (PWS)","3/23/2020 10:43:27 AM","2019","870","0","870","0","797","0","0","0","0","0","73"
"IL1075145","Logan","Morningside Mobile Estates MHP (PWS)","3/23/2020 10:38:09 AM","2019","50","0","50","0","0","0","0","0","0","0","50"
"IL1170060","Macoupin","South Palmyra Water Commission (PWS)","3/23/2020 10:19:07 AM","2019","335","2","333","0","0","0","0","0","0","0","335"
"IL1170600","Macoupin","Modesto (PWS)","3/23/2020 10:17:56 AM","2019","100","0","100","0","4","0","0","0","0","0","96"
"IL1115760","McHenry","Lakewood (PWS)","3/23/2020 10:17:50 AM","2019","1090","0","1090","0","0","0","0","0","1090","0","0"
"IL0850030","Jo Daviess","Wienen Estates (PWS)","3/23/2020 10:16:07 AM","2019","30","0","30","0","0","0","0","0","0","0","30"
"IL0610050","Greene","Carrollton (PWS)","3/23/2020 9:21:46 AM","2019","1169","0","1169","0","199","0","752","0","17","0","201"
"IL0190650","Champaign","Rantoul (PWS)","3/23/2020 8:52:17 AM","2019","5020","0","5020","0","0","3554","310","0","1077","5","74"
"IL0270150","Clinton","Bartelso (PWS)","3/23/2020 8:00:13 AM","2019","245","0","245","0","0","70","5","10","130","0","30"
"IL1570600","Randolph","Sparta (PWS)","3/23/2020 5:29:05 AM","2019","2621","2","2619","0","900","0","0","0","927","0","794"
"IL1090050","McDonough","Bardolph (PWS)","3/21/2020 3:29:51 PM","2019","98","0","98","0","86","0","0","0","10","0","2"
"IL0410350","Douglas","Villa Grove (PWS)","3/20/2020 8:06:00 PM","2019","1101","1","1100","790","0","0","0","0","0","0","311"
"IL1970900","Will","Romeoville (PWS)","3/20/2020 3:43:23 PM","2019","16955","0","16955","0","0","0","0","0","16834","0","121"
"IL1670050","Sangamon","Auburn (PWS)","3/20/2020 2:28:13 PM","2019","1908","0","1908","0","1251","0","0","0","657","0","0"
"IL0730650","Henry","Kewanee (PWS)","3/20/2020 1:35:23 PM","2019","5563","0","5563","1256","1186","0","0","0","2689","0","432"
"IL1874000","Warren","Alexis (PWS)","3/20/2020 1:14:56 PM","2019","417","0","417","10","7","298","0","0","0","0","102"
"IL1794320","Tazewell","Deer Creek (PWS)","3/20/2020 12:17:28 PM","2019","307","0","307","0","0","0","2","268","2","0","35"
"IL1050250","Livingston","Dwight (PWS)","3/20/2020 11:12:25 AM","2019","1799","2","1797","0","1535","46","1","0","146","0","71"
"IL1790050","Tazewell","Armington (PWS)","3/19/2020 5:15:33 PM","2019","167","0","167","0","0","0","0","136","0","0","31"
"IL0415030","Douglas","Tuscola (PWS)","3/19/2020 4:49:00 PM","2019","2366","1","2365","0","630","0","185","0","1514","0","37"
"IL0970190","Lake","Beach Park (PWS)","3/19/2020 3:11:23 PM","2019","2902","1","2901","0","0","0","0","0","2703","0","199"
"IL0431150","DuPage","Winfield (PWS)","3/19/2020 2:47:11 PM","2019","3777","1","3776","2","0","0","0","0","3775","0","0"
"IL1950350","Whiteside","Morrison (PWS)","3/19/2020 1:48:00 PM","2019","1956","0","1956","0","266","525","725","0","40","0","400"
"IL0150350","Carroll","Thomson (PWS)","3/19/2020 12:59:58 PM","2019","236","0","236","0","0","0","98","0","138","0","0"
"IL0314890","Cook","Schaumburg (PWS)","3/19/2020 11:41:11 AM","2019","26369","0","26369","0","11","25934","0","0","0","424","0"
"IL1910050","Wayne","Cisne (PWS)","3/19/2020 10:44:43 AM","2019","350","0","350","0","0","0","0","164","76","0","110"
"IL1995050","Williamson","Ferges Water District (PWS)","3/19/2020 10:40:35 AM","2019","461","0","461","0","0","0","0","196","0","0","265"
"IL1850100","Wabash","Bellmont (PWS)","3/19/2020 10:37:24 AM","2019","131","0","131","0","0","0","60","46","0","0","25"
"IL0770100","Jackson","Campbell Hill (PWS)","3/19/2020 10:33:44 AM","2019","256","0","256","0","251","0","0","0","0","0","5"
"IL1995250","Williamson","Coal Valley PWD (PWS)","3/19/2020 10:32:32 AM","2019","1547","0","1547","0","0","0","2","1503","0","0","42"
"IL0690050","Hardin","Cave-In-Rock (PWS)","3/19/2020 10:31:21 AM","2019","119","0","119","0","0","0","0","6","100","0","13"
"IL1655120","Saline","Raleigh Water District (PWS)","3/19/2020 10:29:52 AM","2019","251","0","251","0","0","0","0","0","0","0","251"
"IL1010250","Lawrence","St Francisville (PWS)","3/19/2020 10:28:46 AM","2019","288","2","286","0","0","0","78","110","0","0","100"
"IL1030200","Lee","Dixon (PWS)","3/19/2020 9:57:58 AM","2019","5737","0","5737","0","375","0","878","0","4245","0","239"
"IL0312040","Cook","Norridge (PWS)","3/19/2020 8:18:55 AM","2019","4900","0","4900","15","2714","0","10","0","2137","24","0"
"IL1850150","Wabash","Keensburg (PWS)","3/18/2020 4:20:12 PM","2019","130","0","130","0","0","0","0","0","0","0","130"
"IL1010100","Lawrence","Bridgeport (PWS)","3/18/2020 4:19:15 PM","2019","1057","0","1057","0","0","0","0","719","8","0","330"
"IL1270050","Massac","Brookport (PWS)","3/18/2020 4:16:48 PM","2019","391","0","391","0","0","0","30","336","0","0","25"
"IL0555250","Franklin","Hill City Water District (PWS)","3/18/2020 4:13:46 PM","2019","203","0","203","0","0","0","0","23","0","0","180"
"IL1270100","Massac","Joppa (PWS)","3/18/2020 4:11:39 PM","2019","186","0","186","0","0","0","0","176","0","0","10"
"IL1994420","Williamson","Freeman Spur (PWS)","3/18/2020 4:10:23 PM","2019","171","0","171","0","71","40","0","0","0","0","60"
"IL1595050","Richland","West Liberty-Dundas Water District (PWS)","3/18/2020 4:08:26 PM","2019","220","0","220","0","0","0","0","0","0","0","220"
"IL1650250","Saline","Muddy (PWS)","3/18/2020 4:07:25 PM","2019","71","0","71","0","0","0","0","0","4","0","67"
"IL1015350","Lawrence","Petrolia PWD (PWS)","3/18/2020 4:06:00 PM","2019","514","0","514","0","0","0","0","0","0","0","514"
"IL0875050","Johnson","Burnside PWD (PWS)","3/18/2020 4:03:35 PM","2019","1132","2","1130","0","0","0","0","832","0","0","300"
"IL1190900","Madison","Roxana (PWS)","3/18/2020 3:19:07 PM","2019","766","11","755","0","0","0","385","314","4","0","63"
"IL0350200","Cumberland","Toledo (PWS)","3/18/2020 3:12:04 PM","2019","601","1","600","0","525","0","0","0","69","1","6"
"IL1970850","Will","Rockdale (PWS)","3/18/2020 2:17:07 PM","2019","845","0","845","54","10","160","47","0","559","0","15"
"IL1055030","Livingston","Illinois American - Pontiac (PWS)","3/18/2020 2:04:59 PM","2019","4730","0","4730","3","307","2791","3","908","651","57","10"
"IL1050650","Livingston","Illinois American - Saunemin (PWS)","3/18/2020 1:56:44 PM","2019","205","0","205","0","1","0","20","70","91","0","23"
"IL0110300","Bureau","De Pue (PWS)","3/18/2020 1:45:28 PM","2019","669","0","669","157","0","0","90","0","422","0","0"
"IL0850150","Jo Daviess","Elizabeth (PWS)","3/18/2020 1:35:21 PM","2019","403","0","403","3","330","46","2","0","0","0","22"
"IL1550300","Putnam","Standard (PWS)","3/18/2020 1:34:35 PM","2019","115","0","115","0","0","0","0","0","100","0","15"
"IL1550250","Putnam","Mark (PWS)","3/18/2020 1:33:52 PM","2019","230","0","230","0","0","0","0","0","160","0","70"
"IL1555100","Putnam","Hennepin PWD (PWS)","3/18/2020 1:33:17 PM","2019","320","0","320","0","0","0","0","0","240","0","80"
"IL0510150","Fayette","Farina (PWS)","3/18/2020 1:13:29 PM","2019","258","0","258","0","0","0","0","0","137","0","121"
"IL0350050","Cumberland","Greenup (PWS)","3/18/2020 11:41:28 AM","2019","794","0","794","0","732","0","3","0","7","0","52"
"IL0670500","Hancock","Nauvoo (PWS)","3/17/2020 3:36:28 PM","2019","687","0","687","0","341","20","2","0","300","0","24"
"IL1910450","Wayne","Wayne City (PWS)","3/17/2020 2:00:37 PM","2019","604","2","602","0","423","0","18","0","42","0","121"
"IL0190060","Champaign","Seymour Water District (PWS)","3/17/2020 1:58:01 PM","2019","156","0","156","0","0","0","0","0","0","0","156"
"IL0195150","Champaign","Sangamon Valley PWD (PWS)","3/17/2020 1:56:01 PM","2019","1372","0","1372","0","0","371","0","0","0","0","1001"
"IL0311620","Cook","Lemont (PWS)","3/17/2020 1:09:33 PM","2019","6269","1","6268","1","0","0","0","2135","4132","1","0"
"IL1930020","White","Brownsville (PWS)","3/17/2020 12:41:41 PM","2019","318","0","318","0","0","0","0","0","0","0","318"
"IL1815050","Union","Anna-Jonesboro Water Commission (PWS)","3/17/2020 12:41:20 PM","2019","18","6","12","0","0","0","0","0","12","5","1"
"IL0313060","Cook","Streamwood (PWS)","3/17/2020 12:09:39 PM","2019","13106","0","13106","0","0","13065","0","0","0","41","0"
"IL1190030","Madison","Country Hills Water, Inc. (PWS)","3/17/2020 12:04:29 PM","2019","57","0","57","0","0","0","0","0","27","0","30"
"IL1370450","Morgan","Waverly (PWS)","3/17/2020 11:32:43 AM","2019","749","1","748","0","97","0","205","0","389","0","58"
"IL1190500","Madison","Hartford (PWS)","3/17/2020 10:52:23 AM","2019","590","0","590","12","0","545","12","0","20","0","1"
"IL1430500","Peoria","Mapleton (PWS)","3/17/2020 9:17:24 AM","2019","122","122","0","0","0","0","0","0","1","0","121"
"IL0370300","DeKalb","Kirkland (PWS)","3/17/2020 8:12:44 AM","2019","718","0","718","0","175","0","0","0","538","2","3"
"IL0050050","Bond","Greenville-Wtp (PWS)","3/17/2020 8:08:45 AM","2019","2679","5","2674","0","516","0","455","0","904","0","804"
"IL1890250","Washington","Irvington (PWS)","3/17/2020 7:20:30 AM","2019","489","1","488","0","250","0","6","0","13","1","219"
"IL1895400","Washington","Hoyleton RWC (PWS)","3/17/2020 7:17:58 AM","2019","394","0","394","0","118","0","0","0","4","0","272"
"IL0275230","Clinton","Hoffman RWD (PWS)","3/17/2020 7:17:04 AM","2019","416","1","415","0","173","0","0","0","12","0","231"
"IL1210020","Marion","FMC Water Company (PWS)","3/17/2020 7:14:52 AM","2019","1053","0","1053","0","555","11","0","0","0","0","487"
"IL1210200","Marion","Junction City (PWS)","3/17/2020 7:09:27 AM","2019","209","0","209","0","125","0","5","0","1","0","78"
"IL1210350","Marion","Odin (PWS)","3/17/2020 7:08:14 AM","2019","1055","0","1055","0","711","0","6","0","5","0","333"
"IL1210600","Marion","Walnut Hill (PWS)","3/17/2020 7:04:52 AM","2019","518","0","518","0","315","0","0","0","12","0","191"
"IL0275150","Clinton","Clinton County East PWD (PWS)","3/17/2020 7:03:42 AM","2019","763","0","763","0","527","0","0","0","3","0","233"
"IL0275120","Clinton","Carlyle Southwest PWD (PWS)","3/17/2020 7:01:59 AM","2019","696","0","696","0","452","0","0","0","0","0","244"
"IL1810200","Union","Dongola (PWS)","3/16/2020 5:46:31 PM","2019","380","0","380","0","130","100","50","0","0","0","100"
"IL0470100","Edwards","Bone Gap (PWS)","3/16/2020 4:28:12 PM","2019","96","0","96","0","0","0","0","0","0","0","96"
"IL1530050","Pulaski","Karnak (PWS)","3/16/2020 4:26:59 PM","2019","230","0","230","0","0","0","0","0","210","0","20"
"IL0810050","Jefferson","Belle Rive (PWS)","3/16/2020 4:24:11 PM","2019","835","0","835","0","810","0","0","0","0","0","25"
"IL1990300","Williamson","Creal Springs (PWS)","3/16/2020 4:23:05 PM","2019","311","0","311","0","279","0","0","0","0","0","32"
"IL0650150","Hamilton","Dahlgren (PWS)","3/16/2020 4:21:02 PM","2019","364","0","364","0","0","0","0","0","0","0","364"
"IL1815100","Union","Lick Creek PWD (PWS)","3/16/2020 4:19:26 PM","2019","813","3","810","0","0","0","0","0","0","0","813"
"IL0370550","DeKalb","Sycamore (PWS)","3/16/2020 3:56:54 PM","2019","7241","0","7241","173","5252","0","3","4","1745","3","61"
"IL1050150","Livingston","Cornell (PWS)","3/16/2020 3:49:43 PM","2019","246","0","246","0","140","1","10","0","0","0","95"
"IL0730750","Henry","Woodhull (PWS)","3/16/2020 3:23:01 PM","2019","402","0","402","0","0","0","50","102","100","0","150"
"IL0855050","Jo Daviess","Util Inc - Galena Territory (PWS)","3/16/2020 3:20:27 PM","2019","2332","0","2332","0","0","0","0","0","230","0","2102"
"IL0855150","Jo Daviess","Util Inc - Apple Canyon Utilities Company (PWS)","3/16/2020 3:18:49 PM","2019","916","0","916","0","0","0","0","0","200","0","716"
"IL1775050","Stephenson","Util Inc - Northern Hills Utlities Company (PWS)","3/16/2020 3:15:53 PM","2019","172","0","172","0","0","0","0","0","72","0","100"
"IL0010700","Adams","Ursa (PWS)","3/16/2020 2:37:51 PM","2019","288","0","288","0","0","0","0","0","116","0","172"
"IL1495000","Pike","Pike County Pwd 1 (PWS)","3/16/2020 2:37:12 PM","2019","2030","3","2027","0","0","0","0","0","0","0","2030"
"IL0010600","Adams","Plainville (PWS)","3/16/2020 2:35:23 PM","2019","156","0","156","0","0","0","0","0","156","0","0"
"IL1490700","Pike","Perry (PWS)","3/16/2020 2:34:40 PM","2019","220","0","220","0","0","0","0","0","130","0","90"
"IL0010550","Adams","Payson (PWS)","3/16/2020 2:34:07 PM","2019","402","1","401","0","0","0","1","0","400","0","1"
"IL1490550","Pike","New Canton (PWS)","3/16/2020 2:31:03 PM","2019","164","0","164","0","0","0","0","0","134","0","30"
"IL1490450","Pike","Milton (PWS)","3/16/2020 2:30:19 PM","2019","129","0","129","0","0","0","0","0","65","0","64"
"IL0010500","Adams","Mendon (PWS)","3/16/2020 2:29:30 PM","2019","435","0","435","0","0","0","5","0","420","0","10"
"IL0010400","Adams","Lima (PWS)","3/16/2020 2:25:32 PM","2019","76","0","76","0","0","0","0","0","0","0","76"
"IL0010350","Adams","Liberty (PWS)","3/16/2020 2:24:48 PM","2019","287","0","287","0","0","0","0","0","229","0","58"
"IL0010300","Adams","La Prairie (PWS)","3/16/2020 2:24:07 PM","2019","31","0","31","0","0","0","0","0","0","0","31"
"IL1490400","Pike","Kinderhook (PWS)","3/16/2020 2:23:33 PM","2019","115","0","115","0","0","0","0","0","115","0","0"
