GEOID,NAME,total,total_hispanic,total_hispanic_perc,mexican,mexican_perc,PR,PR_perc,cuban,cuban_perc,hispanic_other,hispanic_other_perc,total_nothisp,total_nothisp_perc,white,white_perc,black,black_perc,native,native_perc,asian,asian_perc,PI,PI_perc
1600000US1710370,"Cahokia village, Illinois",14271,77,0.5,73,0.5,0,0,0,0,4,0,14194,99.5,4868,34.1,8754,61.3,43,0.3,271,1.9,0,0
1600000US1710383,"Cairo city, Illinois",2528,29,1.1,7,0.3,22,0.9,0,0,0,0,2499,98.9,657,26,1688,66.8,38,1.5,0,0,0,0
1600000US1710422,"Caledonia village, Illinois",221,0,0,0,0,0,0,0,0,0,0,221,100,205,92.8,0,0,0,0,16,7.2,0,0
1600000US1710448,"Calhoun village, Illinois",171,0,0,0,0,0,0,0,0,0,0,171,100,171,100,0,0,0,0,0,0,0,0
1600000US1710487,"Calumet City city, Illinois",36856,5596,15.2,5019,13.6,357,1,12,0,208,0.6,31260,84.8,3601,9.8,27348,74.2,47,0.1,20,0.1,0,0
1600000US1710513,"Calumet Park village, Illinois",8442,618,7.3,563,6.7,55,0.7,0,0,0,0,7824,92.7,195,2.3,7439,88.1,0,0,0,0,0,0
1600000US1710591,"Camargo village, Illinois",595,4,0.7,2,0.3,0,0,0,0,2,0.3,591,99.3,591,99.3,0,0,0,0,0,0,0,0
1600000US1710630,"Cambria village, Illinois",1248,44,3.5,37,3,4,0.3,0,0,3,0.2,1204,96.5,1058,84.8,38,3,2,0.2,39,3.1,0,0
1600000US1710643,"Cambridge village, Illinois",2238,35,1.6,24,1.1,3,0.1,0,0,8,0.4,2203,98.4,2110,94.3,63,2.8,20,0.9,10,0.4,0,0
1600000US1710695,"Camden village, Illinois",89,0,0,0,0,0,0,0,0,0,0,89,100,89,100,0,0,0,0,0,0,0,0
1600000US1710773,"Campbell Hill village, Illinois",303,0,0,0,0,0,0,0,0,0,0,303,100,286,94.4,0,0,0,0,0,0,0,0
1600000US1710877,"Camp Point village, Illinois",1136,0,0,0,0,0,0,0,0,0,0,1136,100,1106,97.4,0,0,5,0.4,6,0.5,0,0
1600000US1710906,"Campton Hills village, Illinois",11348,355,3.1,199,1.8,24,0.2,0,0,132,1.2,10993,96.9,10695,94.2,57,0.5,0,0,118,1,0,0
1600000US1710916,"Campus village, Illinois",181,0,0,0,0,0,0,0,0,0,0,181,100,181,100,0,0,0,0,0,0,0,0
1600000US1710936,"Candlewick Lake CDP, Illinois",4877,669,13.7,617,12.7,0,0,0,0,52,1.1,4208,86.3,3765,77.2,303,6.2,0,0,57,1.2,0,0
1600000US1711007,"Canton city, Illinois",13789,771,5.6,447,3.2,194,1.4,17,0.1,113,0.8,13018,94.4,11657,84.5,1146,8.3,26,0.2,9,0.1,10,0.1
1600000US1711033,"Cantrall village, Illinois",223,2,0.9,0,0,2,0.9,0,0,0,0,221,99.1,215,96.4,0,0,0,0,0,0,0,0
1600000US1711124,"Capron village, Illinois",1483,642,43.3,607,40.9,35,2.4,0,0,0,0,841,56.7,807,54.4,3,0.2,0,0,0,0,0,0
1600000US1711150,"Carbon Cliff village, Illinois",1893,146,7.7,133,7,1,0.1,0,0,12,0.6,1747,92.3,1336,70.6,375,19.8,0,0,8,0.4,0,0
1600000US1711163,"Carbondale city, Illinois",25846,1464,5.7,1002,3.9,150,0.6,46,0.2,266,1,24382,94.3,15083,58.4,6733,26.1,37,0.1,1467,5.7,0,0
1600000US1711176,"Carbon Hill village, Illinois",311,33,10.6,33,10.6,0,0,0,0,0,0,278,89.4,277,89.1,0,0,0,0,0,0,0,0
1600000US1711202,"Carlinville city, Illinois",5610,174,3.1,125,2.2,4,0.1,0,0,45,0.8,5436,96.9,5116,91.2,222,4,17,0.3,8,0.1,0,0
1600000US1711215,"Carlock village, Illinois",549,13,2.4,13,2.4,0,0,0,0,0,0,536,97.6,437,79.6,85,15.5,0,0,0,0,0,0
1600000US1711228,"Carlyle city, Illinois",3285,138,4.2,128,3.9,0,0,0,0,10,0.3,3147,95.8,2938,89.4,133,4,25,0.8,0,0,0,0
1600000US1711293,"Carmi city, Illinois",4913,108,2.2,80,1.6,22,0.4,6,0.1,0,0,4805,97.8,4679,95.2,50,1,0,0,30,0.6,0,0
1600000US1711332,"Carol Stream village, Illinois",39989,5940,14.9,4289,10.7,584,1.5,116,0.3,951,2.4,34049,85.1,22879,57.2,2998,7.5,0,0,7673,19.2,0,0
1600000US1711358,"Carpentersville village, Illinois",38138,19246,50.5,17345,45.5,705,1.8,14,0,1182,3.1,18892,49.5,12282,32.2,3077,8.1,47,0.1,2980,7.8,0,0
1600000US1711397,"Carrier Mills village, Illinois",1938,63,3.3,63,3.3,0,0,0,0,0,0,1875,96.7,1613,83.2,194,10,4,0.2,0,0,0,0
1600000US1711462,"Carrollton city, Illinois",2461,1,0,0,0,1,0,0,0,0,0,2460,100,2397,97.4,26,1.1,0,0,0,0,0,0
1600000US1711514,"Carterville city, Illinois",5848,420,7.2,381,6.5,19,0.3,0,0,20,0.3,5428,92.8,4931,84.3,284,4.9,18,0.3,99,1.7,0,0
1600000US1711527,"Carthage city, Illinois",2466,110,4.5,75,3,21,0.9,0,0,14,0.6,2356,95.5,2285,92.7,19,0.8,0,0,17,0.7,0,0
1600000US1711592,"Cary village, Illinois",17871,1474,8.2,1384,7.7,43,0.2,0,0,47,0.3,16397,91.8,15079,84.4,296,1.7,0,0,629,3.5,0,0
1600000US1711618,"Casey city, Illinois",2518,55,2.2,43,1.7,0,0,0,0,12,0.5,2463,97.8,2385,94.7,21,0.8,0,0,7,0.3,0,0
1600000US1711644,"Caseyville village, Illinois",4018,236,5.9,210,5.2,0,0,0,0,26,0.6,3782,94.1,3407,84.8,273,6.8,0,0,0,0,0,0
1600000US1711774,"Catlin village, Illinois",2077,14,0.7,0,0,0,0,0,0,14,0.7,2063,99.3,2063,99.3,0,0,0,0,0,0,0,0
1600000US1711826,"Cave-In-Rock village, Illinois",263,3,1.1,0,0,2,0.8,1,0.4,0,0,260,98.9,244,92.8,0,0,0,0,1,0.4,0,0
1600000US1711982,"Cedar Point village, Illinois",296,32,10.8,31,10.5,0,0,0,0,1,0.3,264,89.2,264,89.2,0,0,0,0,0,0,0,0
1600000US1712008,"Cedarville village, Illinois",648,52,8,48,7.4,0,0,0,0,4,0.6,596,92,585,90.3,8,1.2,0,0,0,0,0,0
1600000US1712151,"Central City village, Illinois",1259,34,2.7,0,0,17,1.4,0,0,17,1.4,1225,97.3,1211,96.2,0,0,0,0,0,0,0,0
1600000US1712164,"Centralia city, Illinois",12538,499,4,364,2.9,42,0.3,0,0,93,0.7,12039,96,10139,80.9,1182,9.4,19,0.2,153,1.2,0,0
1600000US1712203,"Centreville city, Illinois",5059,49,1,49,1,0,0,0,0,0,0,5010,99,187,3.7,4778,94.4,27,0.5,0,0,0,0
1600000US1712268,"Cerro Gordo village, Illinois",1371,1,0.1,1,0.1,0,0,0,0,0,0,1370,99.9,1337,97.5,1,0.1,0,0,0,0,0,0
1600000US1712294,"Chadwick village, Illinois",580,28,4.8,28,4.8,0,0,0,0,0,0,552,95.2,539,92.9,0,0,0,0,0,0,0,0
1600000US1712385,"Champaign city, Illinois",86791,5395,6.2,3400,3.9,488,0.6,61,0.1,1446,1.7,81396,93.8,52279,60.2,15221,17.5,110,0.1,11504,13.3,0,0
1600000US1712450,"Chandlerville village, Illinois",452,12,2.7,3,0.7,9,2,0,0,0,0,440,97.3,413,91.4,0,0,0,0,0,0,0,0
1600000US1712476,"Channahon village, Illinois",12718,1229,9.7,1060,8.3,154,1.2,0,0,15,0.1,11489,90.3,11150,87.7,87,0.7,43,0.3,32,0.3,0,0
1600000US1712489,"Channel Lake CDP, Illinois",1470,173,11.8,97,6.6,0,0,50,3.4,26,1.8,1297,88.2,1224,83.3,0,0,0,0,18,1.2,0,0
1600000US1712528,"Chapin village, Illinois",458,11,2.4,0,0,0,0,0,0,11,2.4,447,97.6,447,97.6,0,0,0,0,0,0,0,0
1600000US1712567,"Charleston city, Illinois",20632,758,3.7,554,2.7,56,0.3,0,0,148,0.7,19874,96.3,17285,83.8,1488,7.2,52,0.3,568,2.8,17,0.1
1600000US1712684,"Chatham village, Illinois",12535,246,2,157,1.3,9,0.1,0,0,80,0.6,12289,98,11711,93.4,135,1.1,1,0,163,1.3,0,0
1600000US1712710,"Chatsworth town, Illinois",1196,124,10.4,107,8.9,5,0.4,7,0.6,5,0.4,1072,89.6,984,82.3,0,0,0,0,7,0.6,0,0
1600000US1712801,"Chebanse village, Illinois",1138,72,6.3,29,2.5,0,0,0,0,43,3.8,1066,93.7,1004,88.2,26,2.3,0,0,0,0,0,0
1600000US1712879,"Chemung CDP, Illinois",619,576,93.1,568,91.8,8,1.3,0,0,0,0,43,6.9,43,6.9,0,0,0,0,0,0,0,0
1600000US1712931,"Chenoa city, Illinois",2037,69,3.4,64,3.1,0,0,0,0,5,0.2,1968,96.6,1889,92.7,41,2,0,0,3,0.1,0,0
1600000US1712970,"Cherry village, Illinois",469,8,1.7,8,1.7,0,0,0,0,0,0,461,98.3,461,98.3,0,0,0,0,0,0,0,0
1600000US1713074,"Cherry Valley village, Illinois",2895,172,5.9,108,3.7,59,2,0,0,5,0.2,2723,94.1,2365,81.7,28,1,0,0,195,6.7,0,0
1600000US1713139,"Chester city, Illinois",8410,519,6.2,438,5.2,0,0,6,0.1,75,0.9,7891,93.8,5372,63.9,2471,29.4,0,0,23,0.3,0,0
1600000US1713165,"Chesterfield village, Illinois",206,7,3.4,5,2.4,0,0,0,0,2,1,199,96.6,198,96.1,1,0.5,0,0,0,0,0,0
1600000US1713230,"Chestnut CDP, Illinois",83,0,0,0,0,0,0,0,0,0,0,83,100,83,100,0,0,0,0,0,0,0,0
1600000US1714000,"Chicago city, Illinois",2718555,788140,29,586355,21.6,102241,3.8,9244,0.3,90300,3.3,1930415,71,892323,32.8,808165,29.7,3160,0.1,172991,6.4,400,0
1600000US1714026,"Chicago Heights city, Illinois",30087,11081,36.8,10086,33.5,586,1.9,0,0,409,1.4,19006,63.2,6174,20.5,11992,39.9,13,0,45,0.1,0,0
1600000US1714065,"Chicago Ridge village, Illinois",14254,1326,9.3,1102,7.7,85,0.6,19,0.1,120,0.8,12928,90.7,10644,74.7,1693,11.9,0,0,452,3.2,0,0
1600000US1714117,"Chillicothe city, Illinois",6135,289,4.7,256,4.2,0,0,0,0,33,0.5,5846,95.3,5708,93,7,0.1,0,0,131,2.1,0,0
1600000US1714273,"Chrisman city, Illinois",1306,0,0,0,0,0,0,0,0,0,0,1306,100,1297,99.3,5,0.4,0,0,4,0.3,0,0
1600000US1714286,"Christopher city, Illinois",2725,36,1.3,28,1,8,0.3,0,0,0,0,2689,98.7,2646,97.1,15,0.6,0,0,16,0.6,0,0
1600000US1714351,"Cicero town, Illinois",83147,74180,89.2,67436,81.1,3415,4.1,241,0.3,3088,3.7,8967,10.8,5667,6.8,2548,3.1,65,0.1,463,0.6,0,0
1600000US1714442,"Cisco village, Illinois",246,0,0,0,0,0,0,0,0,0,0,246,100,231,93.9,1,0.4,0,0,0,0,0,0
1600000US1714455,"Cisne village, Illinois",598,14,2.3,4,0.7,10,1.7,0,0,0,0,584,97.7,569,95.2,2,0.3,0,0,0,0,0,0
1600000US1714468,"Cissna Park village, Illinois",778,8,1,8,1,0,0,0,0,0,0,770,99,770,99,0,0,0,0,0,0,0,0
1600000US1714533,"Claremont village, Illinois",230,7,3,7,3,0,0,0,0,0,0,223,97,218,94.8,0,0,0,0,5,2.2,0,0
1600000US1714572,"Clarendon Hills village, Illinois",8711,878,10.1,626,7.2,25,0.3,0,0,227,2.6,7833,89.9,7061,81.1,25,0.3,12,0.1,590,6.8,0,0
1600000US1714715,"Clay City village, Illinois",849,0,0,0,0,0,0,0,0,0,0,849,100,849,100,0,0,0,0,0,0,0,0
1600000US1714767,"Clayton village, Illinois",634,0,0,0,0,0,0,0,0,0,0,634,100,622,98.1,0,0,10,1.6,0,0,0,0
1600000US1714845,"Clear Lake village, Illinois",191,8,4.2,0,0,0,0,0,0,8,4.2,183,95.8,179,93.7,0,0,0,0,0,0,0,0
1600000US1714923,"Cleveland village, Illinois",287,6,2.1,6,2.1,0,0,0,0,0,0,281,97.9,279,97.2,2,0.7,0,0,0,0,0,0
1600000US1714936,"Clifton village, Illinois",1373,17,1.2,17,1.2,0,0,0,0,0,0,1356,98.8,1310,95.4,0,0,0,0,13,0.9,0,0
1600000US1715001,"Clinton city, Illinois",7126,279,3.9,261,3.7,0,0,0,0,18,0.3,6847,96.1,6674,93.7,76,1.1,0,0,4,0.1,0,0
1600000US1715170,"Coal City village, Illinois",5427,227,4.2,144,2.7,53,1,0,0,30,0.6,5200,95.8,4980,91.8,58,1.1,8,0.1,47,0.9,0,0
1600000US1715209,"Coalton village, Illinois",334,0,0,0,0,0,0,0,0,0,0,334,100,329,98.5,0,0,0,0,0,0,0,0
1600000US1715235,"Coal Valley village, Illinois",3635,181,5,63,1.7,0,0,0,0,118,3.2,3454,95,3430,94.4,0,0,0,0,12,0.3,0,0
1600000US1715261,"Coatsburg village, Illinois",186,0,0,0,0,0,0,0,0,0,0,186,100,186,100,0,0,0,0,0,0,0,0
1600000US1715300,"Cobden village, Illinois",1161,337,29,268,23.1,26,2.2,0,0,43,3.7,824,71,789,68,0,0,0,0,0,0,0,0
1600000US1715352,"Coffeen city, Illinois",622,0,0,0,0,0,0,0,0,0,0,622,100,608,97.7,0,0,11,1.8,0,0,0,0
1600000US1715378,"Colchester city, Illinois",1481,0,0,0,0,0,0,0,0,0,0,1481,100,1479,99.9,0,0,0,0,0,0,0,0
1600000US1715469,"Coleta village, Illinois",212,2,0.9,2,0.9,0,0,0,0,0,0,210,99.1,207,97.6,0,0,0,0,0,0,0,0
1600000US1715495,"Colfax village, Illinois",1135,38,3.3,0,0,19,1.7,0,0,19,1.7,1097,96.7,1065,93.8,3,0.3,3,0.3,0,0,0,0
1600000US1715599,"Collinsville city, Illinois",24756,981,4,800,3.2,104,0.4,0,0,77,0.3,23775,96,20031,80.9,3029,12.2,29,0.1,296,1.2,0,0
1600000US1715664,"Colona city, Illinois",4954,641,12.9,579,11.7,18,0.4,44,0.9,0,0,4313,87.1,4191,84.6,13,0.3,0,0,0,0,0,0
1600000US1715807,"Colp village, Illinois",318,34,10.7,34,10.7,0,0,0,0,0,0,284,89.3,132,41.5,124,39,0,0,0,0,0,0
1600000US1715833,"Columbia city, Illinois",10503,191,1.8,152,1.4,17,0.2,9,0.1,13,0.1,10312,98.2,10051,95.7,22,0.2,17,0.2,148,1.4,0,0
1600000US1715846,"Columbus village, Illinois",47,0,0,0,0,0,0,0,0,0,0,47,100,47,100,0,0,0,0,0,0,0,0
1600000US1715950,"Como CDP, Illinois",607,35,5.8,35,5.8,0,0,0,0,0,0,572,94.2,572,94.2,0,0,0,0,0,0,0,0
1600000US1715989,"Compton village, Illinois",299,10,3.3,10,3.3,0,0,0,0,0,0,289,96.7,264,88.3,9,3,9,3,1,0.3,0,0
1600000US1716054,"Concord village, Illinois",183,2,1.1,2,1.1,0,0,0,0,0,0,181,98.9,181,98.9,0,0,0,0,0,0,0,0
1600000US1716119,"Congerville village, Illinois",575,17,3,7,1.2,0,0,4,0.7,6,1,558,97,537,93.4,0,0,0,0,8,1.4,0,0
1600000US1716210,"Cooksville village, Illinois",169,1,0.6,0,0,0,0,0,0,1,0.6,168,99.4,168,99.4,0,0,0,0,0,0,0,0
1600000US1716366,"Cordova village, Illinois",705,6,0.9,6,0.9,0,0,0,0,0,0,699,99.1,687,97.4,12,1.7,0,0,0,0,0,0
1600000US1716405,"Cornell village, Illinois",444,6,1.4,6,1.4,0,0,0,0,0,0,438,98.6,411,92.6,0,0,0,0,0,0,0,0
1600000US1716431,"Cornland CDP, Illinois",61,0,0,0,0,0,0,0,0,0,0,61,100,61,100,0,0,0,0,0,0,0,0
1600000US1716470,"Cortland town, Illinois",4087,513,12.6,354,8.7,17,0.4,0,0,142,3.5,3574,87.4,3159,77.3,325,8,0,0,79,1.9,0,0
1600000US1716613,"Coulterville village, Illinois",943,3,0.3,0,0,2,0.2,0,0,1,0.1,940,99.7,860,91.2,33,3.5,12,1.3,3,0.3,0,0
1600000US1716691,"Country Club Hills city, Illinois",16801,1046,6.2,1025,6.1,21,0.1,0,0,0,0,15755,93.8,849,5.1,14403,85.7,0,0,386,2.3,0,0
1600000US1716873,"Countryside city, Illinois",5997,1437,24,1139,19,229,3.8,0,0,69,1.2,4560,76,4166,69.5,155,2.6,0,0,69,1.2,0,0
1600000US1717055,"Cowden village, Illinois",514,14,2.7,11,2.1,3,0.6,0,0,0,0,500,97.3,484,94.2,1,0.2,0,0,2,0.4,0,0
1600000US1717077,"Coyne Center CDP, Illinois",922,12,1.3,12,1.3,0,0,0,0,0,0,910,98.7,887,96.2,0,0,0,0,0,0,0,0
1600000US1717094,"Crab Orchard CDP, Illinois",232,0,0,0,0,0,0,0,0,0,0,232,100,229,98.7,0,0,0,0,0,0,0,0
1600000US1717185,"Crainville village, Illinois",1499,50,3.3,35,2.3,0,0,0,0,15,1,1449,96.7,1338,89.3,72,4.8,0,0,18,1.2,0,0
1600000US1717289,"Creal Springs city, Illinois",433,0,0,0,0,0,0,0,0,0,0,433,100,430,99.3,0,0,0,0,0,0,0,0
1600000US1717406,"Crescent City village, Illinois",634,11,1.7,11,1.7,0,0,0,0,0,0,623,98.3,614,96.8,0,0,0,0,1,0.2,0,0
1600000US1717458,"Crest Hill city, Illinois",20379,3558,17.5,3087,15.1,227,1.1,16,0.1,228,1.1,16821,82.5,10890,53.4,4603,22.6,10,0,731,3.6,0,0
1600000US1717471,"Creston village, Illinois",665,139,20.9,119,17.9,0,0,0,0,20,3,526,79.1,505,75.9,12,1.8,0,0,0,0,0,0
1600000US1717497,"Crestwood village, Illinois",10901,943,8.7,691,6.3,146,1.3,0,0,106,1,9958,91.3,9001,82.6,691,6.3,15,0.1,239,2.2,12,0.1
1600000US1717523,"Crete village, Illinois",8184,728,8.9,585,7.1,106,1.3,9,0.1,28,0.3,7456,91.1,4616,56.4,2659,32.5,0,0,28,0.3,0,0
1600000US1717549,"Creve Coeur village, Illinois",5493,43,0.8,43,0.8,0,0,0,0,0,0,5450,99.2,5262,95.8,32,0.6,0,0,0,0,0,0
1600000US1717783,"Crossville village, Illinois",765,8,1,4,0.5,1,0.1,0,0,3,0.4,757,99,743,97.1,2,0.3,3,0.4,0,0,0,0
1600000US1717887,"Crystal Lake city, Illinois",40170,5021,12.5,4035,10,210,0.5,167,0.4,609,1.5,35149,87.5,32781,81.6,557,1.4,71,0.2,1075,2.7,14,0
1600000US1717939,"Crystal Lawns CDP, Illinois",2086,379,18.2,312,15,23,1.1,0,0,44,2.1,1707,81.8,1589,76.2,45,2.2,32,1.5,20,1,0,0
1600000US1717991,"Cuba city, Illinois",1285,8,0.6,7,0.5,1,0.1,0,0,0,0,1277,99.4,1239,96.4,11,0.9,0,0,0,0,0,0
1600000US1718030,"Cullom village, Illinois",650,19,2.9,19,2.9,0,0,0,0,0,0,631,97.1,543,83.5,0,0,0,0,0,0,0,0
1600000US1718147,"Curran village, Illinois",252,2,0.8,2,0.8,0,0,0,0,0,0,250,99.2,239,94.8,0,0,0,0,6,2.4,0,0
1600000US1718225,"Cutler village, Illinois",384,0,0,0,0,0,0,0,0,0,0,384,100,378,98.4,0,0,0,0,0,0,0,0
1600000US1718251,"Cypress village, Illinois",216,0,0,0,0,0,0,0,0,0,0,216,100,215,99.5,0,0,0,0,0,0,0,0
1600000US1718303,"Dahlgren village, Illinois",511,0,0,0,0,0,0,0,0,0,0,511,100,511,100,0,0,0,0,0,0,0,0
1600000US1718342,"Dakota village, Illinois",551,21,3.8,21,3.8,0,0,0,0,0,0,530,96.2,519,94.2,0,0,0,0,0,0,0,0
1600000US1718420,"Dallas City city, Illinois",944,0,0,0,0,0,0,0,0,0,0,944,100,914,96.8,0,0,0,0,10,1.1,0,0
1600000US1718446,"Dalton City village, Illinois",424,9,2.1,0,0,5,1.2,4,0.9,0,0,415,97.9,413,97.4,0,0,0,0,0,0,0,0
1600000US1718459,"Dalzell village, Illinois",736,42,5.7,36,4.9,3,0.4,0,0,3,0.4,694,94.3,640,87,22,3,0,0,24,3.3,0,0
1600000US1718472,"Damiansville village, Illinois",587,122,20.8,74,12.6,4,0.7,0,0,44,7.5,465,79.2,415,70.7,27,4.6,0,0,10,1.7,0,0
1600000US1718485,"Dana village, Illinois",95,13,13.7,13,13.7,0,0,0,0,0,0,82,86.3,82,86.3,0,0,0,0,0,0,0,0
1600000US1718498,"Danforth village, Illinois",632,13,2.1,9,1.4,0,0,0,0,4,0.6,619,97.9,595,94.1,4,0.6,0,0,11,1.7,0,0
1600000US1718537,"Danvers village, Illinois",1108,10,0.9,10,0.9,0,0,0,0,0,0,1098,99.1,1076,97.1,3,0.3,0,0,8,0.7,0,0
1600000US1718563,"Danville city, Illinois",31554,2018,6.4,1656,5.2,123,0.4,42,0.1,197,0.6,29536,93.6,18005,57.1,10341,32.8,4,0,390,1.2,9,0
1600000US1718628,"Darien city, Illinois",22126,1232,5.6,697,3.2,73,0.3,0,0,462,2.1,20894,94.4,16782,75.8,769,3.5,4,0,2650,12,0,0
1600000US1718641,"Darmstadt CDP, Illinois",0,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
1600000US1718706,"Davis village, Illinois",548,5,0.9,5,0.9,0,0,0,0,0,0,543,99.1,538,98.2,0,0,0,0,1,0.2,0,0
1600000US1718719,"Davis Junction village, Illinois",2508,331,13.2,220,8.8,31,1.2,0,0,80,3.2,2177,86.8,2078,82.9,40,1.6,0,0,11,0.4,0,0
1600000US1718745,"Dawson village, Illinois",667,25,3.7,0,0,0,0,25,3.7,0,0,642,96.3,636,95.4,3,0.4,0,0,0,0,0,0
1600000US1718771,"Dayton CDP, Illinois",531,32,6,32,6,0,0,0,0,0,0,499,94,499,94,0,0,0,0,0,0,0,0
1600000US1718823,"Decatur city, Illinois",72969,2050,2.8,1177,1.6,248,0.3,126,0.2,499,0.7,70919,97.2,50704,69.5,14851,20.4,223,0.3,661,0.9,5,0
1600000US1718940,"Deer Creek village, Illinois",659,3,0.5,3,0.5,0,0,0,0,0,0,656,99.5,654,99.2,0,0,0,0,0,0,0,0
1600000US1718992,"Deerfield village, Illinois",18930,590,3.1,324,1.7,65,0.3,31,0.2,170,0.9,18340,96.9,17268,91.2,143,0.8,7,0,747,3.9,0,0
1600000US1719031,"Deer Grove village, Illinois",57,1,1.8,1,1.8,0,0,0,0,0,0,56,98.2,56,98.2,0,0,0,0,0,0,0,0
1600000US1719083,"Deer Park village, Illinois",3668,56,1.5,40,1.1,0,0,6,0.2,10,0.3,3612,98.5,3200,87.2,21,0.6,0,0,367,10,0,0
1600000US1719161,"DeKalb city, Illinois",42839,5767,13.5,5056,11.8,318,0.7,22,0.1,371,0.9,37072,86.5,28027,65.4,6015,14,24,0.1,1964,4.6,0,0
1600000US1719200,"De Land village, Illinois",369,13,3.5,0,0,2,0.5,0,0,11,3,356,96.5,347,94,2,0.5,0,0,0,0,0,0
1600000US1719226,"Delavan city, Illinois",1668,22,1.3,6,0.4,0,0,0,0,16,1,1646,98.7,1612,96.6,8,0.5,8,0.5,10,0.6,0,0
1600000US1719499,"De Pue village, Illinois",1651,1078,65.3,1000,60.6,7,0.4,0,0,71,4.3,573,34.7,528,32,10,0.6,5,0.3,23,1.4,0,0
1600000US1719616,"De Soto village, Illinois",1635,170,10.4,122,7.5,36,2.2,0,0,12,0.7,1465,89.6,1413,86.4,14,0.9,5,0.3,5,0.3,0,0
1600000US1719642,"Des Plaines city, Illinois",58694,10893,18.6,7615,13,1168,2,187,0.3,1923,3.3,47801,81.4,37361,63.7,1204,2.1,71,0.1,8017,13.7,39,0.1
1600000US1719681,"Detroit village, Illinois",76,0,0,0,0,0,0,0,0,0,0,76,100,76,100,0,0,0,0,0,0,0,0
1600000US1719798,"De Witt village, Illinois",202,0,0,0,0,0,0,0,0,0,0,202,100,190,94.1,0,0,0,0,0,0,0,0
1600000US1719837,"Diamond village, Illinois",2707,182,6.7,146,5.4,0,0,36,1.3,0,0,2525,93.3,2447,90.4,39,1.4,0,0,0,0,0,0
1600000US1719915,"Dieterich village, Illinois",629,2,0.3,2,0.3,0,0,0,0,0,0,627,99.7,610,97,1,0.2,0,0,15,2.4,0,0
1600000US1720045,"Divernon village, Illinois",1098,14,1.3,14,1.3,0,0,0,0,0,0,1084,98.7,1072,97.6,0,0,0,0,9,0.8,0,0
1600000US1720123,"Dix village, Illinois",362,5,1.4,2,0.6,1,0.3,0,0,2,0.6,357,98.6,339,93.6,0,0,0,0,2,0.6,0,0
1600000US1720149,"Dixmoor village, Illinois",3657,1493,40.8,1297,35.5,196,5.4,0,0,0,0,2164,59.2,368,10.1,1796,49.1,0,0,0,0,0,0
1600000US1720162,"Dixon city, Illinois",15496,1333,8.6,1078,7,114,0.7,0,0,141,0.9,14163,91.4,12174,78.6,1559,10.1,9,0.1,103,0.7,47,0.3
1600000US1720292,"Dolton village, Illinois",22927,514,2.2,311,1.4,141,0.6,0,0,62,0.3,22413,97.8,1086,4.7,20751,90.5,10,0,124,0.5,0,0
1600000US1720305,"Dongola village, Illinois",799,4,0.5,4,0.5,0,0,0,0,0,0,795,99.5,763,95.5,18,2.3,0,0,0,0,0,0
1600000US1720318,"Donnellson village, Illinois",172,0,0,0,0,0,0,0,0,0,0,172,100,165,95.9,0,0,3,1.7,4,2.3,0,0
1600000US1720331,"Donovan village, Illinois",239,11,4.6,9,3.8,2,0.8,0,0,0,0,228,95.4,217,90.8,0,0,0,0,0,0,0,0
1600000US1720370,"Dorchester village, Illinois",120,0,0,0,0,0,0,0,0,0,0,120,100,118,98.3,0,0,0,0,0,0,0,0
1600000US1720526,"Dover village, Illinois",133,0,0,0,0,0,0,0,0,0,0,133,100,133,100,0,0,0,0,0,0,0,0
1600000US1720565,"Dowell village, Illinois",473,15,3.2,0,0,0,0,0,0,15,3.2,458,96.8,454,96,0,0,0,0,0,0,0,0
1600000US1720591,"Downers Grove village, Illinois",49644,2240,4.5,1419,2.9,294,0.6,102,0.2,425,0.9,47404,95.5,42004,84.6,1784,3.6,18,0,2936,5.9,1,0
1600000US1720643,"Downs village, Illinois",886,23,2.6,15,1.7,0,0,0,0,8,0.9,863,97.4,824,93,11,1.2,0,0,5,0.6,0,0
1600000US1720890,"Du Bois village, Illinois",150,2,1.3,0,0,0,0,0,0,2,1.3,148,98.7,137,91.3,11,7.3,0,0,0,0,0,0
1600000US1721098,"Dunfermline village, Illinois",388,6,1.5,0,0,6,1.5,0,0,0,0,382,98.5,380,97.9,2,0.5,0,0,0,0,0,0
1600000US1721176,"Dunlap village, Illinois",1160,14,1.2,9,0.8,2,0.2,0,0,3,0.3,1146,98.8,915,78.9,29,2.5,23,2,107,9.2,0,0
1600000US1721254,"Dupo village, Illinois",3893,149,3.8,79,2,19,0.5,0,0,51,1.3,3744,96.2,3575,91.8,129,3.3,0,0,0,0,0,0
1600000US1721267,"Du Quoin city, Illinois",5818,170,2.9,115,2,0,0,55,0.9,0,0,5648,97.1,5196,89.3,232,4,12,0.2,41,0.7,0,0
1600000US1721280,"Durand village, Illinois",1379,17,1.2,17,1.2,0,0,0,0,0,0,1362,98.8,1340,97.2,0,0,0,0,5,0.4,0,0
1600000US1721358,"Dwight village, Illinois",4130,124,3,124,3,0,0,0,0,0,0,4006,97,3876,93.8,30,0.7,0,0,38,0.9,0,0
1600000US1721410,"Eagarville village, Illinois",154,0,0,0,0,0,0,0,0,0,0,154,100,131,85.1,9,5.8,0,0,2,1.3,0,0
