GEOID,NAME,total,total_hispanic,total_hispanic_perc,mexican,mexican_perc,PR,PR_perc,cuban,cuban_perc,hispanic_other,hispanic_other_perc,total_nothisp,total_nothisp_perc,white,white_perc,black,black_perc,native,native_perc,asian,asian_perc,PI,PI_perc
1600000US1702154,"Arlington Heights village, Illinois",75724,4211,5.6,2893,3.8,359,0.5,194,0.3,765,1,71513,94.4,61839,81.7,1070,1.4,18,0,7555,10,0,0
1600000US1702206,"Armington village, Illinois",370,15,4.1,10,2.7,0,0,0,0,5,1.4,355,95.9,341,92.2,0,0,0,0,4,1.1,0,0
1600000US1702258,"Aroma Park village, Illinois",813,102,12.5,78,9.6,0,0,0,0,24,3,711,87.5,678,83.4,17,2.1,0,0,5,0.6,0,0
1600000US1702342,"Arrowsmith village, Illinois",299,0,0,0,0,0,0,0,0,0,0,299,100,297,99.3,0,0,0,0,0,0,0,0
1600000US1702414,"Arthur village, Illinois",2622,80,3.1,70,2.7,6,0.2,0,0,4,0.2,2542,96.9,2498,95.3,7,0.3,13,0.5,6,0.2,0,0
1600000US1702479,"Ashkum village, Illinois",800,11,1.4,11,1.4,0,0,0,0,0,0,789,98.6,770,96.3,13,1.6,0,0,0,0,0,0
1600000US1702505,"Ashland village, Illinois",1367,17,1.2,17,1.2,0,0,0,0,0,0,1350,98.8,1333,97.5,8,0.6,5,0.4,0,0,0,0
1600000US1702531,"Ashley city, Illinois",538,50,9.3,50,9.3,0,0,0,0,0,0,488,90.7,486,90.3,0,0,0,0,0,0,0,0
1600000US1702557,"Ashmore village, Illinois",814,0,0,0,0,0,0,0,0,0,0,814,100,807,99.1,0,0,0,0,0,0,0,0
1600000US1702583,"Ashton village, Illinois",1081,47,4.3,40,3.7,7,0.6,0,0,0,0,1034,95.7,968,89.5,9,0.8,0,0,27,2.5,0,0
1600000US1702609,"Assumption city, Illinois",1142,0,0,0,0,0,0,0,0,0,0,1142,100,1108,97,4,0.4,0,0,0,0,0,0
1600000US1702635,"Astoria town, Illinois",907,2,0.2,0,0,2,0.2,0,0,0,0,905,99.8,886,97.7,19,2.1,0,0,0,0,0,0
1600000US1702674,"Athens city, Illinois",2105,32,1.5,9,0.4,23,1.1,0,0,0,0,2073,98.5,1955,92.9,8,0.4,0,0,11,0.5,0,0
1600000US1702726,"Atkinson town, Illinois",1281,13,1,10,0.8,0,0,0,0,3,0.2,1268,99,1241,96.9,0,0,5,0.4,5,0.4,0,0
1600000US1702752,"Atlanta city, Illinois",1965,33,1.7,25,1.3,0,0,0,0,8,0.4,1932,98.3,1898,96.6,2,0.1,0,0,5,0.3,0,0
1600000US1702882,"Atwood village, Illinois",1004,5,0.5,5,0.5,0,0,0,0,0,0,999,99.5,976,97.2,1,0.1,0,0,4,0.4,0,0
1600000US1702921,"Auburn city, Illinois",4805,117,2.4,0,0,0,0,0,0,117,2.4,4688,97.6,4572,95.2,50,1,0,0,29,0.6,0,0
1600000US1702986,"Augusta village, Illinois",465,0,0,0,0,0,0,0,0,0,0,465,100,465,100,0,0,0,0,0,0,0,0
1600000US1703012,"Aurora city, Illinois",200660,86063,42.9,76419,38.1,5442,2.7,339,0.2,3863,1.9,114597,57.1,72798,36.3,21314,10.6,137,0.1,16304,8.1,173,0.1
1600000US1703103,"Ava city, Illinois",602,23,3.8,15,2.5,0,0,0,0,8,1.3,579,96.2,552,91.7,0,0,9,1.5,0,0,0,0
1600000US1703181,"Aviston village, Illinois",2166,32,1.5,23,1.1,6,0.3,0,0,3,0.1,2134,98.5,2110,97.4,10,0.5,0,0,7,0.3,0,0
