GEO_ID,NAME,DP05_0033E,DP05_0034E,DP05_0034PE,DP05_0035E,DP05_0035PE,DP05_0037E,DP05_0037PE,DP05_0038E,DP05_0038PE,DP05_0039E,DP05_0039PE,DP05_0044E,DP05_0044PE,DP05_0045E,DP05_0045PE,DP05_0046E,DP05_0046PE,DP05_0047E,DP05_0047PE,DP05_0048E,DP05_0048PE,DP05_0049E,DP05_0049PE,DP05_0050E,DP05_0050PE,DP05_0051E,DP05_0051PE,DP05_0052E,DP05_0052PE,DP05_0053E,DP05_0053PE,DP05_0054E,DP05_0054PE,DP05_0055E,DP05_0055PE,DP05_0056E,DP05_0056PE,DP05_0057E,DP05_0057PE,DP05_0059E,DP05_0059PE,DP05_0060E,DP05_0060PE,DP05_0061E,DP05_0061PE,DP05_0061PM,DP05_0062E,DP05_0062PE,DP05_0063E,DP05_0063PE,DP05_0064E,DP05_0064PE,DP05_0065E,DP05_0065PE,DP05_0066E,DP05_0066PE,DP05_0067E,DP05_0067PE,DP05_0068E,DP05_0068PE,DP05_0069E,DP05_0069PE,DP05_0070E,DP05_0070PE,DP05_0071E,DP05_0071PE,DP05_0072E,DP05_0072PE,DP05_0073E,DP05_0073PE,DP05_0074E,DP05_0074PE,DP05_0075E,DP05_0075PE,DP05_0076E,DP05_0076PE,DP05_0077E,DP05_0077PE,DP05_0078E,DP05_0078PE,DP05_0079E,DP05_0079PE,DP05_0080E,DP05_0080PE,DP05_0081E,DP05_0081PE,DP05_0082E,DP05_0082PE,DP05_0083E,DP05_0083PE,DP05_0084E,DP05_0084PE,DP05_0085E,DP05_0085PE,DP05_0086E
1600000US1700672,"Alexis village, Illinois",885,867,98,18,2,867,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.8,0,0,0,0,3.1,0,0,885,885,885,100,16,1.8,0,0,0,0,2,0.2,0,0,885,885,13,1.5,13,1.5,0,0,0,0,0,0,872,98.5,854,96.5,0,0,0,0,0,0,0,0,0,0,18,2,0,0,18,2,407
1600000US1700685,"Algonquin village, Illinois",30709,30274,98.6,435,1.4,26825,87.4,420,1.4,27,0.1,2565,8.4,970,3.2,177,0.6,444,1.4,0,0,39,0.1,293,1,642,2.1,0,0,0,0,0,0,0,0,0,0,437,1.4,47,0.2,70,0.2,257,0.8,0.5,0,0,30709,30709,27249,88.7,478,1.6,97,0.3,2822,9.2,11,0,487,1.6,30709,30709,1932,6.3,1386,4.5,298,1,21,0.1,227,0.7,28777,93.7,25371,82.6,406,1.3,19,0.1,2565,8.4,0,0,60,0.2,356,1.2,0,0,356,1.2,11465
1600000US1700737,"Alhambra village, Illinois",628,628,100,0,0,626,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3,0,0,0,0,0,0,4.3,0,0,628,628,626,99.7,0,0,0,0,0,0,0,0,2,0.3,628,628,2,0.3,2,0.3,0,0,0,0,0,0,626,99.7,626,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
1600000US1700815,"Allendale village, Illinois",698,664,95.1,34,4.9,664,95.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,698,698,698,100,0,0,0,0,0,0,0,0,34,4.9,698,698,41,5.9,34,4.9,0,0,0,0,7,1,657,94.1,657,94.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
1600000US1700867,"Allenville village, Illinois",180,178,98.9,2,1.1,178,98.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.1,1.8,0,0,180,180,180,100,0,0,0,0,2,1.1,0,0,0,0,180,180,31,17.2,31,17.2,0,0,0,0,0,0,149,82.8,147,81.7,0,0,0,0,0,0,0,0,0,0,2,1.1,0,0,2,1.1,94
1600000US1700880,"Allerton village, Illinois",312,309,99,3,1,299,95.8,4,1.3,0,0,2,0.6,0,0,0,0,2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.3,0,0,0,0,3,1,1.3,0,0,312,312,302,96.8,4,1.3,0,0,5,1.6,0,0,4,1.3,312,312,3,1,0,0,3,1,0,0,0,0,309,99,296,94.9,4,1.3,0,0,2,0.6,0,0,4,1.3,3,1,0,0,3,1,131
1600000US1700919,"Alma village, Illinois",327,324,99.1,3,0.9,323,98.8,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,2,0.6,1.5,0,0,327,327,326,99.7,0,0,1,0.3,3,0.9,0,0,0,0,327,327,0,0,0,0,0,0,0,0,0,0,327,100,323,98.8,0,0,0,0,1,0.3,0,0,0,0,3,0.9,0,0,3,0.9,160
1600000US1700958,"Alorton village, Illinois",1965,1952,99.3,13,0.7,19,1,1930,98.2,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,1965,1965,19,1,1943,98.9,0,0,3,0.2,0,0,13,0.7,1965,1965,17,0.9,0,0,4,0.2,0,0,13,0.7,1948,99.1,15,0.8,1930,98.2,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,859
1600000US1700971,"Alpha village, Illinois",555,552,99.5,3,0.5,537,96.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.7,3,0.5,0,0,0,0,4.8,0,0,555,555,540,97.3,3,0.5,0,0,0,0,0,0,15,2.7,555,555,12,2.2,7,1.3,5,0.9,0,0,0,0,543,97.8,525,94.6,0,0,0,0,0,0,0,0,15,2.7,3,0.5,0,0,3,0.5,254
1600000US1700997,"Alsey village, Illinois",145,145,100,0,0,140,96.6,5,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0,0,145,145,140,96.6,5,3.4,0,0,0,0,0,0,0,0,145,145,0,0,0,0,0,0,0,0,0,0,145,100,140,96.6,5,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
