GEOID,NAME,total,onerace_white,onerace_white_perc,onerace_black,onerace_black_perc
1600000US1735866,"Hometown city, Illinois",4308,4096,95.1,53,1.2
1600000US1735879,"Homewood village, Illinois",19592,9936,50.7,8251,42.1
1600000US1736061,"Hoopeston city, Illinois",5229,4548,87,133,2.5
1600000US1736074,"Hooppole village, Illinois",236,236,100,0,0
1600000US1736126,"Hopedale village, Illinois",911,899,98.7,2,0.2
1600000US1736150,"Hopewell village, Illinois",424,423,99.8,0,0
1600000US1736190,"Hopkins Park village, Illinois",426,13,3.1,372,87.3
1600000US1736347,"Hoyleton village, Illinois",598,530,88.6,18,3
1600000US1736438,"Hudson village, Illinois",2073,2014,97.2,10,0.5
1600000US1736477,"Huey village, Illinois",211,211,100,0,0
1600000US1736516,"Hull village, Illinois",510,485,95.1,12,2.4
1600000US1736542,"Humboldt village, Illinois",500,488,97.6,3,0.6
1600000US1736568,"Hume village, Illinois",357,344,96.4,3,0.8
1600000US1736750,"Huntley village, Illinois",26486,23454,88.6,678,2.6
1600000US1736815,"Hurst city, Illinois",846,791,93.5,10,1.2
1600000US1736841,"Hutsonville village, Illinois",503,497,98.8,0,0
1600000US1737127,"Illiopolis village, Illinois",890,855,96.1,0,0
1600000US1737179,"Ina village, Illinois",2495,1599,64.1,855,34.3
1600000US1737218,"Indian Creek village, Illinois",596,397,66.6,30,5
1600000US1737257,"Indian Head Park village, Illinois",3812,3373,88.5,39,1
1600000US1737348,"Indianola village, Illinois",290,280,96.6,2,0.7
1600000US1737439,"Industry village, Illinois",392,381,97.2,0,0
1600000US1737465,"Ingalls Park CDP, Illinois",3200,2221,69.4,321,10
1600000US1737608,"Inverness village, Illinois",7747,6315,81.5,52,0.7
1600000US1737621,"Iola village, Illinois",138,137,99.3,0,0
1600000US1737647,"Ipava village, Illinois",491,469,95.5,0,0
1600000US1737712,"Iroquois village, Illinois",177,164,92.7,9,5.1
1600000US1737738,"Irving village, Illinois",326,325,99.7,1,0.3
1600000US1737777,"Irvington village, Illinois",749,722,96.4,7,0.9
1600000US1737803,"Irwin village, Illinois",53,46,86.8,0,0
1600000US1737894,"Island Lake village, Illinois",8056,7616,94.5,30,0.4
1600000US1737907,"Itasca village, Illinois",9042,8081,89.4,209,2.3
1600000US1737933,"Iuka village, Illinois",517,493,95.4,5,1
1600000US1737998,"Ivesdale village, Illinois",232,232,100,0,0
1600000US1738115,"Jacksonville city, Illinois",18914,15948,84.3,2255,11.9
1600000US1738323,"Jeffersonville village, Illinois",427,408,95.6,19,4.4
1600000US1738349,"Jeisyville village, Illinois",72,70,97.2,0,0
1600000US1738375,"Jerome village, Illinois",1883,1530,81.3,201,10.7
1600000US1738414,"Jerseyville city, Illinois",8127,7827,96.3,11,0.1
1600000US1738427,"Jewett village, Illinois",288,273,94.8,0,0
1600000US1738479,"Johnsburg village, Illinois",6333,5833,92.1,51,0.8
1600000US1738531,"Johnsonville village, Illinois",69,67,97.1,0,0
1600000US1738544,"Johnston City city, Illinois",3485,3430,98.4,2,0.1
1600000US1738570,"Joliet city, Illinois",147957,97964,66.2,25024,16.9
1600000US1738635,"Jonesboro city, Illinois",1935,1904,98.4,15,0.8
1600000US1738674,"Joppa village, Illinois",313,279,89.1,23,7.3
1600000US1738739,"Joy village, Illinois",390,379,97.2,0,0
1600000US1738778,"Junction village, Illinois",114,113,99.1,0,0
1600000US1738791,"Junction City village, Illinois",539,495,91.8,7,1.3
1600000US1738830,"Justice village, Illinois",12919,9502,73.6,2475,19.2
1600000US1738856,"Kampsville village, Illinois",372,369,99.2,2,0.5
1600000US1738869,"Kane village, Illinois",285,281,98.6,0,0
1600000US1738895,"Kaneville village, Illinois",375,366,97.6,6,1.6
1600000US1738921,"Kangley village, Illinois",220,212,96.4,0,0
1600000US1738934,"Kankakee city, Illinois",25884,13307,51.4,10736,41.5
1600000US1738986,"Kansas village, Illinois",627,627,100,0,0
1600000US1739038,"Kappa village, Illinois",245,237,96.7,0,0
1600000US1739077,"Karnak village, Illinois",462,432,93.5,16,3.5
1600000US1739129,"Kaskaskia village, Illinois",10,10,100,0,0
1600000US1739233,"Keenes village, Illinois",67,67,100,0,0
1600000US1739259,"Keensburg village, Illinois",74,72,97.3,0,0
1600000US1739298,"Keithsburg city, Illinois",619,605,97.7,0,0
1600000US1739324,"Kell village, Illinois",174,168,96.6,0,0
1600000US1739441,"Kempton village, Illinois",231,225,97.4,0,0
1600000US1739519,"Kenilworth village, Illinois",2512,2323,92.5,17,0.7
1600000US1739532,"Kenney village, Illinois",338,337,99.7,0,0
1600000US1739727,"Kewanee city, Illinois",12570,10861,86.4,627,5
1600000US1739753,"Keyesport village, Illinois",399,398,99.7,1,0.3
1600000US1739857,"Kilbourne village, Illinois",322,304,94.4,0,0
1600000US1739883,"Kildeer village, Illinois",4014,3435,85.6,10,0.2
1600000US1739909,"Kincaid village, Illinois",1596,1591,99.7,0,0
1600000US1739922,"Kinderhook village, Illinois",292,290,99.3,0,0
1600000US1740065,"Kingston village, Illinois",1270,1170,92.1,24,1.9
1600000US1740091,"Kingston Mines village, Illinois",307,300,97.7,6,2
1600000US1740117,"Kinmundy city, Illinois",904,896,99.1,0,0
1600000US1740143,"Kinsman village, Illinois",140,140,100,0,0
1600000US1740156,"Kirkland village, Illinois",1816,1702,93.7,0,0
1600000US1740182,"Kirkwood village, Illinois",721,707,98.1,0,0
1600000US1740364,"Knollwood CDP, Illinois",1820,1684,92.5,14,0.8
